orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,PronType,Tense,VerbForm,Voice,Mood,Person,Aspect,Degree
φύσει,φύσει,φύσις,φύσει,σει,φ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,ζῷον,(),False,xx́xxx,False,False,False,False,Dat,Fem,Sing,,,,,,,,
ζῷον,ζῷον,ζῷος,ζῷον,ͅον,ζ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,καθίστη,(),False,xx͂ͅxx,False,False,False,False,Acc,Neut,Sing,,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,ἔργῳ,(),False,xx̓,False,False,False,False,,,,,,,,,,,
ἔργῳ,ἔργῳ,ἔργοͅ,ἔργῳ,γῳ,ε,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,obl,0.0,καθίστη,(),False,x̓́xxxͅ,False,False,False,False,Dat,Neut,Sing,,,,,,,,
μόνον,μόνον,μόνος,μόνον,νον,μ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,ἔργῳ,(),False,xx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,,
ἀλλὰ,ἀλλὰ,ἀλλὰ,ἀλλὰ,λὰ,α,-20.0,CCONJ,c--------,,cc,0.0,ἔργῳ,(),False,x̓xxx̀,False,False,False,False,,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,καθίστη,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
τῇ,τῇ,τῇ,τῇ,ῇ,τ,-20.0,DET,l-s---fd-,Case=Dat|Gender=Fem|Number=Sing,det,0.0,χειροτονίᾳ,(),False,xx͂ͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,λόγου,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
λόγου,λόγου,λόγος,λόγου,γου,λ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,χειροτονίᾳ,(),False,xx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,,
χειροτονίᾳ,χειροτονίᾳ,χειροτονίᾳ,χειροτονίᾳ,́ᾳ,χ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,καὶ,(),False,xxxx́xͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,,
καθίστη,καθίστη,καθίστημι,καθίστη,στη,κ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,καθίστη,(),False,xxxx́xxx,False,False,False,False,,,Sing,,Pres,Fin,Act,Ind,3,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,βασιλέα,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,,
ὑπὸ,ὑπὸ,ὑπὸ,ὑπὸ,πὸ,υ,-20.0,ADP,r--------,,case,0.0,σελήνην,(),False,x̔xx̀,False,False,False,False,,,,,,,,,,,
σελήνην,σελήνην,σελήνη,σελήνην,νην,σ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,βασιλέα,(),False,xxxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,,
ἀπάντων,ἀπάντων,ἀπάντων,ἀπάντων,των,α,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,σελήνην,(),False,x̓xx́xxxx,False,False,False,False,Gen,Masc,Plur,,,,,,,,
βασιλέα,βασιλέα,βασιλέα,βασιλέα,έα,β,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,καθίστη,(),False,xxxx́x,False,False,False,False,Acc,Masc,Sing,,,,,,,,
χερσαίων,χερσαίων,χερσαίων,χερσαίων,́ων,χ,-20.0,ADJ,A-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,βασιλέα,"(ἐνύδρων, ἀεροπόρων)",False,xxxx́xx,False,False,False,False,Gen,Masc,Plur,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,χερσαίων,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
ἐνύδρων,ἐνύδρων,ἐνύδρος,ἐνύδρων,ρων,ε,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,conj,0.0,χερσαίων,"(χερσαίων, ἀεροπόρων)",False,x̓xx́xxxx,False,False,False,False,Gen,Masc,Plur,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,χερσαίων,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
