orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Definite,PronType,Aspect,Degree
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ὅτι,(),False,",",False,True,False,False,,,,,,,,,,,,
ὅτι,ὅτι,ὅτι,ὅτι,́τι,ο,-20.0,SCONJ,G-,,mark,0.0,πεπτωκὸς,(),False,x̔́xx,False,False,False,False,,,,,,,,,,,,
πρῶτον,πρῶτον,πρῶτος,πρῶτον,τον,π,-20.0,ADJ,Mo,Case=Acc|Gender=Neut|Number=Sing,xcomp,0.0,ζῷον,(),False,xxx͂xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,Df,,advmod,0.0,ζῷον,(),False,xx̀x,False,False,False,False,,,,,,,,,,,,
ζῷον,ζῷον,ζῷος,ζῷον,ͅον,ζ,-20.0,NOUN,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,xcomp,0.0,πεπτωκὸς,"(πρηνὲς,)",False,xx͂ͅxx,False,False,False,False,Nom,Neut,Sing,,,,,,,,,
ἄπουν,ἄπουν,ἄπους,ἄπουν,ουν,α,-20.0,ADJ,A-,Case=Nom|Degree=Pos|Gender=Neut|Number=Sing,amod,0.0,ζῷον,(),False,x̓́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,,,,Pos
ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,τὶ,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,ζῷον,(),False,x̓xxx̀,False,False,False,False,,,Sing,Pres,Fin,Act,Ind,3,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ζῷον,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
πρηνὲς,πρηνὲς,πρηνὲς,πρηνὲς,ὲς,π,-20.0,ADJ,A-,Case=Nom|Gender=Neut|Number=Sing,conj,0.0,ζῷον,"(ζῷον,)",False,xxxx̀x,False,False,False,False,Nom,Neut,Sing,,,,,,,,,
πεπτωκὸς,πεπτωκὸς,πεπτωκὸς,πεπτωκὸς,ὸς,π,-20.0,VERB,v-srpann-,Aspect=Perf|Case=Nom|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,σύμβολον,(),False,xxxx̀x,False,False,False,False,Nom,Neut,Sing,Past,Part,Act,,,,,Perf,
ἐπὶ,ἐπὶ,ἐπὶ,ἐπὶ,πὶ,ε,-20.0,ADP,R-,,case,0.0,γαστέρα,(),False,x̓xx̀,False,False,False,False,,,,,,,,,,,,
γαστέρα,γαστέρα,γαστέρα,γαστέρα,́ρα,γ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,πεπτωκὸς,(),False,xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δεύτερον,(),False,",",False,True,False,False,,,,,,,,,,,,
δεύτερον,δεύτερον,δεύτερος,δεύτερον,ρον,δ,-20.0,ADJ,Mo,Case=Acc|Gender=Neut|Number=Sing,dep,0.0,φήσει,(),False,xxx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,C-,,cc,0.0,φήσει,(),False,xx̀,False,False,False,False,,,,,,,,,,,,
