orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect,Definite,PronType,Degree
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,ἀκρασίαν,(),False,xxx̀x,False,False,False,False,,,,,,,,,,,,
ἀκρασίαν,ἀκρασίαν,ἀκρασία,ἀκρασίαν,́αν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἐκφέρουσα,"(ἡδονήν,)",False,x̓xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀκρασίαν,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
ἡδονήν,ἡδονήν,ἡδονή,ἡδονήν,ήν,η,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,ἀκρασίαν,"(ἀκρασίαν,)",False,x̔xxxx́x,False,False,False,False,Acc,Fem,Sing,,,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,δοκεῖ,(),False,·,False,True,False,False,,,,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,S-,Case=Nom|Definite=Def|Gender=Fem|Number=Sing|PronType=Dem,det,0.0,ἃ,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,,Def,Dem,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἀσπάζεται,(),False,xx̀x,False,False,False,False,,,,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ἀσπάζεται,(),False,xx̀x,False,False,False,False,,,,,,,,,,,,
εὐτέλειαν,εὐτέλειαν,εὐτέλεια,εὐτέλειαν,ιαν,ε,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἀσπάζεται,"(ὀλιγόδειαν, βίῳ)",False,xx̓xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,εὐτέλειαν,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
