orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Degree,Aspect,Mood,Person
μικτὰ,μικτὰ,μικτὰ,μικτὰ,τὰ,μ,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,nsubj,0.0,οἰκεῖον,(),False,xxxx̀,False,False,False,False,Acc,Neut,Plur,,,,,,,
τῆ,τῆ,τῆ,τῆ,τῆ,τ,-20.0,PRON,p-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,οἰκεῖον,(),False,xx͂,False,False,False,False,Dat,Fem,Sing,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,τῆ,(),False,xx̀x,False,False,False,False,,,,,,,,,,
οἰκεῖον,οἰκεῖον,οἰκεῖος,οἰκεῖον,͂ον,ο,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,conj,0.0,οἰκειότατον,"(οἰκειότατον, ἀλλότριον, ἀνοίκειον, οἰκεῖον, ἀνοίκειον)",False,xx̓xxx͂xx,False,False,False,False,Nom,Neut,Sing,,,,,,,
τῆ,τῆ,τῆ,τῆ,τῆ,τ,-20.0,PRON,p-s---fd-,Case=Dat|Gender=Fem|Number=Sing,dep,0.0,οἰκειότατον,(),False,xx͂,False,False,False,False,Dat,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,cc,0.0,οἰκειότατον,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADV,d--------,,advmod,0.0,ἀνοίκειον,(),False,’,False,True,False,False,,,,,,,,,,
ἀνοίκειον,ἀνοίκειον,ἀνοίκειος,ἀνοίκειον,ιον,α,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,conj,0.0,οἰκειότατον,"(οἰκειότατον, ἀλλότριον, οἰκεῖον, οἰκεῖον, ἀνοίκειον)",False,x̓xxx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,οἰκειότατον,(),False,",",False,True,False,False,,,,,,,,,,
οἰκεῖον,οἰκεῖον,οἰκεῖος,οἰκεῖον,͂ον,ο,-20.0,ADJ,A-,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,οἰκειότατον,"(οἰκειότατον, ἀλλότριον, οἰκεῖον, ἀνοίκειον, ἀνοίκειον)",False,xx̓xxx͂xx,False,False,False,False,Acc,Neut,Sing,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,οἰκεῖον,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ἕνεκα,ἕνεκα,ἕνεκα,ἕνεκα,εκα,ε,-20.0,ADP,R-,,case,0.0,ἰδέας,(),False,x̔́xxxx,False,False,False,False,,,,,,,,,,
τῆς,τῆς,τῆ,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ἰδέας,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἀνακεκραμένης,ἀνακεκραμένης,ἀνακεκραμένης,ἀνακεκραμένης,νης,α,-20.0,VERB,v-srpefg-,Aspect=Perf|Case=Gen|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid,nmod,0.0,ἰδέας,(),False,x̓xxxx́xxx,False,False,False,False,Gen,Fem,Sing,Past,Part,Mid,,Perf,,
βελτίονος,βελτίονος,βελτίων,βελτίονος,νος,β,-20.0,ADJ,A-,Case=Gen|Degree=Cmp|Gender=Fem|Number=Sing,nmod,0.0,ἰδέας,(),False,xxxx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,Cmp,,,
ἰδέας,ἰδέας,ἰδέα,ἰδέας,́ας,ι,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,οἰκεῖον,(),False,x̓xx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀνοίκειον,(),False,",",False,True,False,False,,,,,,,,,,
ἀνοίκειον,ἀνοίκειον,ἀνοίκειος,ἀνοίκειον,ιον,α,-20.0,ADJ,A-,Case=Nom|Degree=Pos|Gender=Neut|Number=Sing,conj,0.0,οἰκεῖον,"(οἰκειότατον, ἀλλότριον, οἰκεῖον, ἀνοίκειον, οἰκεῖον)",False,x̓xxx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,Pos,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,cc,0.0,οἰκεῖον,(),False,xx̀,False,False,False,False,,,,,,,,,,
ἕνεκα,ἕνεκα,ἕνεκα,ἕνεκα,εκα,ε,-20.0,ADP,R-,,case,0.0,ἐναντίας,(),False,x̔́xxxx,False,False,False,False,,,,,,,,,,
τῆς,τῆς,τῆ,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ἐναντίας,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἐναντίας,ἐναντίας,ἐναντίος,ἐναντίας,́ας,ε,-20.0,ADJ,A-,Case=Gen|Degree=Pos|Gender=Fem|Number=Sing,obl,0.0,ἀνοίκειον,(),False,x̓xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,Pos,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,οἰκεῖον,(),False,xxx̀,False,False,False,False,,,,,,,,,,
χείρονος,χείρονος,χείρων,χείρονος,νος,χ,-20.0,ADJ,a-s----gc,Case=Gen|Degree=Cmp|Gender=Fem|Number=Sing,iobj,0.0,οἰκεῖον,(),False,xxx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,Cmp,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,οἰκειότατον,(),False,.,False,True,False,False,,,,,,,,,,
