orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Aspect,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Degree,Definite,PronType,Reflex
ἀριθμὸν,ἀριθμὸν,ἀριθμὸν,ἀριθμὸν,ὸν,α,-20.0,NOUN,Nb,Case=Acc|Gender=Masc|Number=Sing,obl,0.0,τέλειον,(),False,x̓xxxx̀x,False,False,False,False,,,Sing,,,,,Acc,Masc,,,,
τέλειον,τέλειον,τέλειος,τέλειον,ιον,τ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,amod,0.0,κόσμον,(),False,xx́xxxx,False,False,False,False,,,Sing,,,,,Acc,Masc,,,,
παγῆναι,παγῆναι,παγῆναι,παγῆναι,ναι,π,-20.0,VERB,v--anp---,Tense=Past|VerbForm=Inf|Voice=Pass,ccomp,0.0,ἔδει,(),False,xxxx͂xxx,False,False,False,False,,,,,Past,Inf,Pass,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἕκ,(),False,xx̀x,False,False,False,False,,,Sing,,,,,Acc,Masc,,,,
ἕκ,ἕκ,ἕκ,ἕκ,̔́κ,ε,-20.0,ADP,R-,,dep,0.0,παγῆναι,(),False,x̔́x,False,False,False,False,,,,,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,’,(),False,",",False,True,False,False,,,,,,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἑαυτῷ,(),False,x̓x,False,False,False,False,,,,,,,,,,,,,
ἑαυτῷ,ἑαυτῷ,ἑαυτῷ,ἑαυτῷ,ῷ,ε,-20.0,PRON,Pk,Case=Dat|Gender=Masc|Number=Sing|Person=3|PronType=Prs|Reflex=Yes,obl,0.0,’,(),False,x̔xxxx͂ͅ,False,False,False,False,,,Sing,3,,,,Dat,Masc,,,Prs,Yes
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,dep,0.0,ἑαυτῷ,(),False,xx̀,False,False,False,False,,,,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,dep,0.0,ἔδει,(),False,’,False,True,False,False,,,,,,,,,,,,,
ἔχειν,ἔχειν,ἔχω,ἔχειν,ειν,ε,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,ccomp,0.0,ἔδει,(),False,x̓́xxxx,False,False,False,False,,,,,Pres,Inf,Act,,,,,,
μέλλοντα,μέλλοντα,μέλλω,μέλλοντα,ντα,μ,-20.0,VERB,v-sppama-,Case=Acc|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,ἔχειν,(),False,xx́xxxx,False,False,False,False,,,Sing,,Pres,Part,Act,Acc,Masc,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,γενέσεις,(),False,xx̀x,False,False,False,False,,,Plur,,,,,Acc,Fem,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,συνδυασμοῦ,(),False,x̓x,False,False,False,False,,,,,,,,,,,,,
συνδυασμοῦ,συνδυασμοῦ,συνδυασμοῦ,συνδυασμοῦ,οῦ,σ,-20.0,NOUN,Nb,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,γενέσεις,(),False,xxxx͂,False,False,False,False,,,Sing,,,,,Gen,Masc,,,,
