orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Degree,Aspect,Mood,Person
ἀρρωστήματος,ἀρρωστήματος,ἀρρωστήματος,ἀρρωστήματος,τος,α,-20.0,NOUN,Nb,Case=Gen|Gender=Neut|Number=Sing,fixed,0.0,καὶ,"(νοσήματος, πάθους)",False,x̓xxxx́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,ADV,d--------,,advmod,0.0,ἀρρωστήματος,(),False,x̓̀,False,False,False,False,,,,,,,,,,
νοσήματος,νοσήματος,νοσήματος,νοσήματος,τος,ν,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,conj,0.0,ἀρρωστήματος,"(ἀρρωστήματος, πάθους)",False,xxxx́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,νοσήματος,(),False,x̓̀,False,False,False,False,,,,,,,,,,
πάθους,πάθους,πάθος,πάθους,ους,π,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,conj,0.0,νοσήματος,"(ἀρρωστήματος, νοσήματος)",False,xx́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,φαντασίας,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,,
φαντασίας,φαντασίας,φαντασία,φαντασίας,́ας,φ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,λαμβάνων,"(πραγμάτων,)",False,xxxx́xx,False,False,False,False,Acc,Fem,Plur,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,σωμάτων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
σωμάτων,σωμάτων,σωμάτον,σωμάτων,των,σ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,φαντασίας,(),False,xxxx́xxx,False,False,False,False,Gen,Neut,Plur,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,φαντασίας,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πραγμάτων,πραγμάτων,πραγμάτων,πραγμάτων,των,π,-20.0,NOUN,Nb,Case=Gen|Gender=Neut|Number=Plur,conj,0.0,φαντασίας,"(φαντασίας,)",False,xxxx́xxx,False,False,False,False,Gen,Neut,Plur,,,,,,,
ἀκραιφνεστάτας,ἀκραιφνεστάτας,ἀκραιφνεστάτας,ἀκραιφνεστάτας,τας,α,-20.0,ADJ,A-,Case=Acc|Degree=Sup|Gender=Fem|Number=Plur,amod,0.0,πραγμάτων,(),False,x̓xxxx́xxx,False,False,False,False,Acc,Fem,Plur,,,,Sup,,,
λαμβάνων,λαμβάνων,λαμβάνω,λαμβάνων,νων,λ,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,ἐποιεῖτο,(),False,xxxx́xxx,False,False,False,False,Nom,Masc,Sing,Pres,Part,Act,,,,
εὐθυβόλους,εὐθυβόλους,εὐθυβόλους,εὐθυβόλους,ους,ε,-20.0,NOUN,Nb,Case=Acc|Gender=Masc|Number=Plur,nmod,0.0,κλήσεις,(),False,xx̓xxxx́xxxx,False,False,False,False,Acc,Masc,Plur,,,,,,,
ἐποιεῖτο,ἐποιεῖτο,ἐποιεῖτο,ἐποιεῖτο,͂το,ε,-20.0,VERB,v3siie---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,ROOT,0.0,ἐποιεῖτο,(),False,x̓xxxx͂xx,False,False,False,False,,,Sing,Past,Fin,Mid,,Imp,Ind,3
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,κλήσεις,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,,
κλήσεις,κλήσεις,κλήσις,κλήσεις,εις,κ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἐποιεῖτο,(),False,xxx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,στοχαζόμενος,(),False,",",False,True,False,False,,,,,,,,,,
εὖ,εὖ,εὖ,εὖ,ὖ,ε,-20.0,ADV,d--------,,advmod,0.0,στοχαζόμενος,(),False,xx̓͂,False,False,False,False,,,,,,,,,,
μάλα,μάλα,μάλα,μάλα,́λα,μ,-20.0,ADV,d--------,,advmod,0.0,εὖ,(),False,xx́xx,False,False,False,False,,,,,,,,,,
στοχαζόμενος,στοχαζόμενος,στοχαζόμενος,στοχαζόμενος,νος,σ,-20.0,VERB,v-sppemn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,ἐποιεῖτο,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,Pres,Part,Mid,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---fg-,Case=Gen|Gender=Fem|Number=Plur,det,0.0,δηλουμένων,(),False,xx͂x,False,False,False,False,Gen,Fem,Plur,,,,,,,
δηλουμένων,δηλουμένων,δηλουμένων,δηλουμένων,νων,δ,-20.0,VERB,v-pppemg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,nmod,0.0,στοχαζόμενος,(),False,xxxx́xxx,False,False,False,False,Gen,Masc,Plur,Pres,Part,Mid,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ὡς,(),False,",",False,True,False,False,,,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,mark,0.0,λεχθῆναί,(),False,x̔x,False,False,False,False,,,,,,,,,,
ἅμα,ἅμα,ἅμα,ἅμα,́μα,α,-20.0,ADV,d--------,,advmod,0.0,λεχθῆναί,(),False,x̔́xx,False,False,False,False,,,,,,,,,,
λεχθῆναί,λεχθῆναί,λεχθῆναί,λεχθῆναί,αί,λ,-20.0,VERB,v--anp---,Aspect=Perf|Tense=Past|VerbForm=Inf|Voice=Pass,advcl,0.0,δηλουμένων,"(νοηθῆναι,)",False,xxxx͂xxx́,False,False,False,False,,,,Past,Inf,Pass,,Perf,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,λεχθῆναί,(),True,xx,True,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,λεχθῆναί,(),False,xxx̀,False,False,False,False,,,,,,,,,,
νοηθῆναι,νοηθῆναι,νοηθῆναι,νοηθῆναι,ναι,ν,-20.0,VERB,v--anp---,Tense=Past|VerbForm=Inf|Voice=Pass,conj,0.0,λεχθῆναί,"(λεχθῆναί,)",False,xxxx͂xxx,False,False,False,False,,,,Past,Inf,Pass,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,φύσεις,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,,
φύσεις,φύσεις,φύσις,φύσεις,εις,φ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,λεχθῆναί,(),False,xx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,,,
αὐτῶν,αὐτῶν,αὐτῶν,αὐτῶν,ῶν,α,-20.0,PRON,p-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,φύσεις,(),False,xx̓xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἐποιεῖτο,(),False,.,False,True,False,False,,,,,,,,,,
