orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Aspect,Tense,VerbForm,Voice,Mood,Person
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,ἀκριβεστάτη,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,προσκεκλήρωται,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,ἀκριβεστάτη,(),False,’,False,True,False,False,,,,,,,,,,
ἀκριβεστάτη,ἀκριβεστάτη,ἀκριβεστάτη,ἀκριβεστάτη,́τη,α,-20.0,ADJ,a-s---fns,Case=Nom|Degree=Sup|Gender=Fem|Number=Sing,conj,0.0,προσκεκλήρωται,"(προσκεκλήρωται, ἀρίστη, μεθόριος)",False,x̓xxxx́xx,False,False,False,False,Nom,Fem,Sing,Sup,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀκριβεστάτη,(),False,xxx̀,False,False,False,False,,,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,πάντα,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
πάντα,πάντα,πάντα,πάντα,ντα,π,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,obl,0.0,ἀρίστη,(),False,xx́xxx,False,False,False,False,Acc,Neut,Plur,,,,,,,
ἀρίστη,ἀρίστη,ἀρίστη,ἀρίστη,στη,α,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,ἀκριβεστάτη,"(προσκεκλήρωται, ἀκριβεστάτη, μεθόριος)",False,x̓xx́xxx,False,False,False,False,Nom,Fem,Sing,,,,,,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Gender=Masc|Number=Sing,det,0.0,ἀνθρώπων,(),False,xx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ἀνθρώπων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
ἀνθρώπων,ἀνθρώπων,ἀνθρώπων,ἀνθρώπων,πων,α,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἀρίστη,(),False,x̓xxxx́xxx,False,False,False,False,Gen,Masc,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἡ,(),False,",",False,True,False,False,,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,ἀκριβεστάτη,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἀκριβεστάτη,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,CCONJ,c--------,,advmod,0.0,ἀρίστη,(),False,’,False,True,False,False,,,,,,,,,,
ἀμφοῖν,ἀμφοῖν,ἀμφοῖν,ἀμφοῖν,ῖν,α,-20.0,ADJ,a-d---md-,Case=Dat|Gender=Masc|Number=Dual,cc,0.0,ἀκριβεστάτη,(),False,x̓xxxx͂x,False,False,False,False,Dat,Masc,Dual,,,,,,,
μεθόριος,μεθόριος,μεθόριος,μεθόριος,ιος,μ,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,ἀκριβεστάτη,"(προσκεκλήρωται, ἀκριβεστάτη, ἀρίστη)",False,xxxx́xxxx,False,False,False,False,Nom,Fem,Sing,,,,,,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Gender=Masc|Number=Sing,det,0.0,χερσαίων,(),False,xx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,χερσαίων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
χερσαίων,χερσαίων,χερσαίων,χερσαίων,́ων,χ,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,μεθόριος,"(ἀεροπόρων,)",False,xxxx́xx,False,False,False,False,Gen,Masc,Plur,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,χερσαίων,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἀεροπόρων,ἀεροπόρων,ἀεροπόρος,ἀεροπόρων,ρων,α,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,conj,0.0,χερσαίων,"(χερσαίων,)",False,x̓xxxx́xxx,False,False,False,False,Gen,Masc,Plur,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,προσκεκλήρωται,(),False,·,False,True,False,False,,,,,,,,,,
αὕτη,αὕτη,αὕτη,αὕτη,́τη,α,-20.0,PRON,p-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,αἰσθητικωτέρα,(),False,xx̔́xx,False,False,False,False,Nom,Fem,Sing,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,αἰσθητικωτέρα,(),False,xx̀x,False,False,False,False,,,,,,,,,,
αἰσθητικωτέρα,αἰσθητικωτέρα,αἰσθητικωτέρα,αἰσθητικωτέρα,́ρα,α,-20.0,ADJ,a-s---fnc,Case=Nom|Degree=Cmp|Gender=Fem|Number=Sing,ROOT,0.0,αἰσθητικωτέρα,"(ἀμυδροτέρα,)",False,xx̓xxxx́xx,False,False,False,False,Nom,Fem,Sing,Cmp,,,,,,
μέν,μέν,μέν,μέν,έν,μ,-20.0,ADV,d--------,,advmod,0.0,αἰσθητικωτέρα,(),False,xx́x,False,False,False,False,,,,,,,,,,
ἐστι,ἐστι,ἐστι,ἐστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,αἰσθητικωτέρα,(),False,x̓xxx,False,False,False,False,,,Sing,,,Pres,Fin,Act,Ind,3
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,dep,0.0,αἰσθητικωτέρα,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἰχθύσιν,(),False,x̓x,False,False,False,False,,,,,,,,,,
ἰχθύσιν,ἰχθύσιν,ἰχθύς,ἰχθύσιν,σιν,ι,-20.0,NOUN,n-p---md-,Case=Dat|Gender=Masc|Number=Plur,nmod,0.0,τῆς,(),False,x̓xxx́xxx,False,False,False,False,Dat,Masc,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀμυδροτέρα,(),False,",",False,True,False,False,,,,,,,,,,
ἀμυδροτέρα,ἀμυδροτέρα,ἀμυδροτέρα,ἀμυδροτέρα,́ρα,α,-20.0,ADJ,a-s---fnc,Case=Nom|Degree=Cmp|Gender=Fem|Number=Sing,conj,0.0,αἰσθητικωτέρα,"(αἰσθητικωτέρα,)",False,x̓xxxx́xx,False,False,False,False,Nom,Fem,Sing,Cmp,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,αἰσθητικωτέρα,(),False,xx̀,False,False,False,False,,,,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ἀνθρώποις,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἀνθρώποις,(),False,x̓x,False,False,False,False,,,,,,,,,,
ἀνθρώποις,ἀνθρώποις,ἀνθρώποις,ἀνθρώποις,οις,α,-20.0,NOUN,n-p---md-,Case=Dat|Gender=Masc|Number=Plur,obl,0.0,ἀμυδροτέρα,(),False,x̓xxxx́xxxx,False,False,False,False,Dat,Masc,Plur,,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,αἰσθητικωτέρα,(),False,.,False,True,False,False,,,,,,,,,,
