orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Mood,Person,Tense,VerbForm,Voice,Degree
ταυτότητα,ταυτότητα,ταυτότης,ταυτότητα,ητα,τ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,τάξιν,"(τάξιν, ποιότητα, ἐμψυχίαν, ὁμοιότητα, σύμφωνον, πᾶν)",False,xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,εὐάρμοστον,(),False,",",False,True,False,False,,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,εὐάρμοστον,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,
εὐάρμοστον,εὐάρμοστον,εὐάρμοστος,εὐάρμοστον,τον,ε,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,amod,0.0,τάξιν,(),False,xx̓x́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,σύμφωνον,(),False,",",False,True,False,False,,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,σύμφωνον,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,
σύμφωνον,σύμφωνον,σύμφωνος,σύμφωνον,νον,σ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,τάξιν,"(τάξιν, ποιότητα, ἐμψυχίαν, ὁμοιότητα, ταυτότητα, πᾶν)",False,xx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,πᾶν,(),False,",",False,True,False,False,,,,,,,,,,
πᾶν,πᾶν,πᾶς,πᾶν,ᾶν,π,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,τάξιν,"(τάξιν, ποιότητα, ἐμψυχίαν, ὁμοιότητα, ταυτότητα, σύμφωνον)",False,xx͂x,False,False,False,False,Acc,Neut,Sing,,,,,,,
ὅσον,ὅσον,ὅσος,ὅσον,σον,ο,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nmod,0.0,πᾶν,(),False,x̔́xxx,False,False,False,False,Nom,Neut,Sing,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ἰδέας,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
κρείττονος,κρείττονος,κρείσσων,κρείττονος,νος,κ,-20.0,ADJ,a-s----gc,Case=Gen|Degree=Cmp|Gender=Fem|Number=Sing,nmod,0.0,ἰδέας,(),False,xxxx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,,Cmp
ἰδέας,ἰδέας,ἰδέα,ἰδέας,́ας,ι,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ὅσον,(),False,x̓xx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἐδέχετο,(),False,.,False,True,False,False,,,,,,,,,,
