orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Definite,Gender,Number,PronType,Polarity,Degree,Aspect,Tense,VerbForm,Voice,Mood,Person
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ὡς,(),False,",",False,True,False,False,,,,,,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,Dq,PronType=Rel,mark,0.0,ἐλέχθη,(),False,x̔x,False,False,False,False,,,,,Rel,,,,,,,,
ἐλέχθη,ἐλέχθη,ἐλέχθη,ἐλέχθη,χθη,ε,-20.0,VERB,V-,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Pass,advcl,0.0,προμαθὼν,(),False,x̓xx́xxx,False,False,False,False,,,,Sing,,,,Perf,Past,Fin,Pass,Ind,3
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐξομοιώσας,(),False,",",False,True,False,False,,,,,,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,μόνωσιν,(),False,xxxx̀,False,False,False,False,,,,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,μόνωσιν,(),False,xx̀x,False,False,False,False,Acc,,Fem,Sing,,,,,,,,,
μόνωσιν,μόνωσιν,μόνωσις,μόνωσιν,σιν,μ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἐξομοιώσας,(),False,xx́xxxx,False,False,False,False,Acc,,Fem,Sing,,,,,,,,,
ἐξομοιώσας,ἐξομοιώσας,ἐξομοιώζω,ἐξομοιώσας,σας,ε,-20.0,VERB,V-,Aspect=Perf|Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,xcomp,0.0,προμαθὼν,"(προνοεῖ,)",False,x̓xxxx́xxx,False,False,False,False,Nom,,Masc,Sing,,,,Perf,Past,Part,Act,,
ἑαυτῷ,ἑαυτῷ,ἑαυτῷ,ἑαυτῷ,ῷ,ε,-20.0,PRON,p-s---md-,Case=Dat|Gender=Masc|Number=Sing,iobj,0.0,ἐξομοιώσας,(),False,x̔xxxx͂ͅ,False,False,False,False,Dat,,Masc,Sing,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἐξομοιώσας,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,,
ὅτι,ὅτι,ὅτι,ὅτι,́τι,ο,-20.0,SCONJ,c--------,,mark,0.0,προνοεῖ,(),False,x̔́xx,False,False,False,False,,,,,,,,,,,,,
ἀεὶ,ἀεὶ,ἀεὶ,ἀεὶ,εὶ,α,-20.0,ADV,d--------,,advmod,0.0,προνοεῖ,(),False,x̓xx̀,False,False,False,False,,,,,,,,,,,,,
προνοεῖ,προνοεῖ,προνοεῖ,προνοεῖ,εῖ,π,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,conj,0.0,ἐξομοιώσας,"(ἐξομοιώσας,)",False,xxxx͂,False,False,False,False,,,,Sing,,,,,Pres,Fin,Act,Ind,3
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,γεγονότος,(),False,xxx͂,False,False,False,False,Gen,,Neut,Sing,,,,,,,,,
γεγονότος,γεγονότος,γεγονότος,γεγονότος,τος,γ,-20.0,VERB,V-,Case=Gen|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,xcomp,0.0,προνοεῖ,(),False,xxxx́xxx,False,False,False,False,Gen,,Neut,Sing,,,,,Past,Part,Pass,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,προμαθὼν,(),False,",",False,True,False,False,,,,,,,,,,,,,
μακαρίαν,μακαρίαν,μακαρίαν,μακαρίαν,́αν,μ,-20.0,ADJ,A-,Case=Acc|Degree=Pos|Gender=Fem|Number=Sing,amod,0.0,ζωὴν,"(εὐδαίμονα,)",False,xxxx́xx,False,False,False,False,Acc,,Fem,Sing,,,Pos,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,μακαρίαν,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,,
εὐδαίμονα,εὐδαίμονα,εὐδαίμων,εὐδαίμονα,ονα,ε,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,μακαρίαν,"(μακαρίαν,)",False,xx̓xxx́xxxx,False,False,False,False,Acc,,Fem,Sing,,,,,,,,,
ζωὴν,ζωὴν,ζωὴ,ζωὴν,ὴν,ζ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,βιώσεται,(),False,xxx̀x,False,False,False,False,Acc,,Fem,Sing,,,,,,,,,
βιώσεται,βιώσεται,βιώω,βιώσεται,ται,β,-20.0,VERB,v3sfim---,Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Mid,ROOT,0.0,βιώσεται,(),False,xxx́xxxx,False,False,False,False,,,,Sing,,,,,Fut,Fin,Mid,Ind,3
δόγμασιν,δόγμασιν,δόγμα,δόγμασιν,σιν,δ,-20.0,NOUN,n-p---nd-,Case=Dat|Gender=Neut|Number=Plur,obj,0.0,χαραχθείς,(),False,xx́xxxx,False,False,False,False,Dat,,Neut,Plur,,,,,,,,,
εὐσεβείας,εὐσεβείας,εὐσεβείας,εὐσεβείας,́ας,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,δόγμασιν,"(ὁσιότητος,)",False,xx̓xxxx́xx,False,False,False,False,Gen,,Fem,Sing,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,εὐσεβείας,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,,
ὁσιότητος,ὁσιότητος,ὁσιότης,ὁσιότητος,τος,ο,-20.0,NOUN,Nb,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,εὐσεβείας,"(εὐσεβείας,)",False,x̔xxx́xxxx,False,False,False,False,Gen,,Fem,Sing,,,,,,,,,
χαραχθείς,χαραχθείς,χαραχθείς,χαραχθείς,ίς,χ,-20.0,VERB,v-sappmn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,advcl,0.0,βιώσεται,(),False,xxxx́x,False,False,False,False,Nom,,Masc,Sing,,,,,Past,Part,Pass,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,βιώσεται,(),False,.,False,True,False,False,,,,,,,,,,,,,
