orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice
γενόμενος,γενόμενος,γενόμενος,γενόμενος,νος,γ,-20.0,VERB,v-sapmmn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid,advcl,0.0,αὐτοδίδακτος,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,Past,Part,Mid
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,καὶ,(),False,",",False,True,False,False,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,αὐτοδίδακτος,(),False,xxx̀,False,False,False,False,,,,,,
προσέτι,προσέτι,προσέτι,προσέτι,́τι,π,-20.0,ADV,d--------,,advmod,0.0,βασιλεύς,(),False,xxxx́xx,False,False,False,False,,,,,,
βασιλεύς,βασιλεύς,βασιλεύς,βασιλεύς,ύς,β,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,αὐτοδίδακτος,"(ἔργον, σοφὸς, αὐτοδίδακτος)",False,xxxx́x,False,False,False,False,Nom,Masc,Sing,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἔργον,(),False,·,False,True,False,False,,,,,,
ἐμπρεπὲς,ἐμπρεπὲς,ἐμπρεπὲς,ἐμπρεπὲς,ὲς,ε,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,xcomp,0.0,προσαγορεύειν,(),False,x̓xxxx̀x,False,False,False,False,Nom,Neut,Sing,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,προσαγορεύειν,(),False,xx̀,False,False,False,False,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,προσαγορεύειν,(),False,’,False,True,False,False,,,,,,
ἡγεμόνι,ἡγεμόνι,ἡγεμόν,ἡγεμόνι,́νι,η,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,ἕκαστον,(),False,x̔xxxx́xx,False,False,False,False,Dat,Masc,Sing,,,
προσαγορεύειν,προσαγορεύειν,προσαγορεύω,προσαγορεύειν,ειν,π,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,ROOT,0.0,προσαγορεύειν,(),False,xxxx́xxx,False,False,False,False,,,,Pres,Inf,Act
ἕκαστον,ἕκαστον,ἕκαστος,ἕκαστον,τον,ε,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,προσαγορεύειν,(),False,x̔́xxxx,False,False,False,False,Acc,Masc,Sing,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ὑπηκόων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,
ὑπηκόων,ὑπηκόων,ὑπηκόων,ὑπηκόων,́ων,υ,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἕκαστον,(),False,x̔xxxx́xx,False,False,False,False,Gen,Masc,Plur,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,προσαγορεύειν,(),False,.,False,True,False,False,,,,,,
