orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Aspect,Tense,VerbForm,Voice,Mood,Person
εἰκότι,εἰκότι,εἰκότι,εἰκότι,́τι,ε,-20.0,VERB,v-srpamd-,Aspect=Perf|Case=Dat|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,nmod,0.0,στοχασμῷ,(),False,xx̓xx́xx,False,False,False,False,Dat,Masc,Sing,,Perf,Past,Part,Act,,
στοχασμῷ,στοχασμῷ,στοχασμῷ,στοχασμῷ,ῷ,σ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,πιθανὴν,(),False,xxxx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
πιθανὴν,πιθανὴν,πιθανὴν,πιθανὴν,ὴν,π,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,xcomp,0.0,δοκοῦσαν,"(εὔλογον,)",False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,πιθανὴν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
εὔλογον,εὔλογον,εὔλογος,εὔλογον,γον,ε,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,πιθανὴν,"(πιθανὴν,)",False,xx̓́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
εἶναι,εἶναι,εἶναι,εἶναι,ναι,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,cop,0.0,πιθανὴν,(),False,xx̓͂xxx,False,False,False,False,,,,,,Pres,Inf,Act,,
δοκοῦσαν,δοκοῦσαν,δοκοῦσαν,δοκοῦσαν,σαν,δ,-20.0,VERB,v-sppafa-,Case=Acc|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,dep,0.0,ἀποκρυπτέον,(),False,xxxx͂xxx,False,False,False,False,Acc,Fem,Sing,,,Pres,Part,Act,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,ἀποκρυπτέον,(),False,xx̓,False,False,False,False,,,,,,,,,,
ἀποκρυπτέον,ἀποκρυπτέον,ἀποκρυπτέον,ἀποκρυπτέον,́ον,α,-20.0,VERB,v3piia---,Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,conj,0.0,ἀνάγκη,"(ἀνάγκη,)",False,x̓xxxx́xx,False,False,False,False,,,Plur,,Imp,Past,Fin,Act,Ind,3
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἀνάγκη,(),False,.,False,True,False,False,,,,,,,,,,
