orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Degree
ἀναγκαιότατον,ἀναγκαιότατον,ἀναγκαιός,ἀναγκαιότατον,τον,α,-20.0,ADJ,a-s---nns,Case=Nom|Degree=Sup|Gender=Neut|Number=Sing,conj,0.0,ἀρχή,"(ἀρχή, νομίζοιτ, ’)",False,x̓xxxx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,Sup
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,παρέχεται,(),False,",",False,True,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,γωνίαν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
ὀρθὴν,ὀρθὴν,ὀρθὴν,ὀρθὴν,ὴν,ο,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,γωνίαν,(),False,x̓xxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
γωνίαν,γωνίαν,γωνία,γωνίαν,́αν,γ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,παρέχεται,(),False,xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,γωνίαν,(),False,",",False,True,False,False,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,οὐσία,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,
οὐσία,οὐσία,οὐσία,οὐσία,ία,ο,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,παρέχεται,(),False,xx̓xx́x,False,False,False,False,Nom,Fem,Sing,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ἑβδομάδος,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
ἑβδομάδος,ἑβδομάδος,ἑβδομάδο,ἑβδομάδος,δος,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,οὐσία,(),False,x̔xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,
παρέχεται,παρέχεται,παρέχω,παρέχεται,ται,π,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,advcl,0.0,ἀρχή,(),False,xxxx́xxxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Mid,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τριὰς,(),False,",",False,True,False,False,,,,,,,,,
τριὰς,τριὰς,τριὰς,τριὰς,ὰς,τ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,appos,0.0,οὐσία,"(τετράς,)",False,xxxx̀x,False,False,False,False,Nom,Fem,Sing,,,,,,
ὁμοῦ,ὁμοῦ,ὁμοῦ,ὁμοῦ,οῦ,ο,-20.0,ADV,d--------,,advmod,0.0,τριὰς,(),False,x̔xxx͂,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,τριὰς,(),False,xxx̀,False,False,False,False,,,,,,,,,
τετράς,τετράς,τετράς,τετράς,άς,τ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,τριὰς,"(τριὰς,)",False,xxxx́x,False,False,False,False,Nom,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τριὰς,(),False,",",False,True,False,False,,,,,,,,,
νομίζοιτ,νομίζοιτ,νομίζοιτ,νομίζοιτ,οιτ,ν,-20.0,VERB,v3spoe---,Mood=Opt|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,conj,0.0,ἀρχή,"(ἀρχή, ἀναγκαιότατον, ’)",False,xxxx́xxxx,False,False,False,False,,,Sing,Opt,3,Pres,Fin,Mid,
’,’,έ,',’,’,-20.0,VERB,V-,Mood=Opt|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,conj,0.0,ἀρχή,"(ἀρχή, ἀναγκαιότατον, νομίζοιτ)",False,’,False,True,False,False,,,Sing,Opt,3,Pres,Fin,Mid,
ἄν,ἄν,ἄν,ἄν,̓́ν,α,-20.0,ADV,d--------,,advmod,0.0,’,(),False,x̓́x,False,False,False,False,,,,,,,,,
εἰκότως,εἰκότως,εἰκότως,εἰκότως,τως,ε,-20.0,ADV,d--------,,advmod,0.0,’,(),False,xx̓xx́xxx,False,False,False,False,,,,,,,,,
ἥδε,ἥδε,ἥδε,ἥδε,́δε,η,-20.0,PRON,p-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nmod,0.0,πηγὴ,(),False,x̔́xx,False,False,False,False,Nom,Fem,Sing,,,,,,
πηγὴ,πηγὴ,πηγὴ,πηγὴ,γὴ,π,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,’,(),False,xxxx̀,False,False,False,False,Nom,Fem,Sing,,,,,,
παντὸς,παντὸς,παντὸς,παντὸς,ὸς,π,-20.0,ADJ,a-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,σχήματος,(),False,xxxx̀x,False,False,False,False,Gen,Neut,Sing,,,,,,
σχήματος,σχήματος,σχήματος,σχήματος,τος,σ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,πηγὴ,"(ποιότητος,)",False,xxx́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,σχήματος,(),False,xxx̀,False,False,False,False,,,,,,,,,
πάσης,πάσης,πάσης,πάσης,σης,π,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ποιότητος,(),False,xx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,
ποιότητος,ποιότητος,ποιότης,ποιότητος,τος,π,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,σχήματος,"(σχήματος,)",False,xxxx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἀρχή,(),False,.,False,True,False,False,,,,,,,,,
