orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect,Degree
ἐπιβάλλοντάς,ἐπιβάλλοντάς,ἐπιβάλλοντάς,ἐπιβάλλοντάς,άς,ε,-20.0,VERB,v-pppama-,Case=Acc|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,xcomp,0.0,ἔχειν,(),False,x̓xxxx́xxxx́x,False,False,False,False,Acc,Masc,Plur,,,Pres,Part,Act,,
ἔχειν,ἔχειν,ἔχω,ἔχειν,ειν,ε,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,advcl,0.0,ἀγαθὸς,"(ἀπηκριβῶσθαι,)",False,x̓́xxxx,False,False,False,False,,,,,,Pres,Inf,Act,,
ἀριθμοὺς,ἀριθμοὺς,ἀριθμοὺς,ἀριθμοὺς,ὺς,α,-20.0,NOUN,n-p---ma-,Case=Acc|Gender=Masc|Number=Plur,obj,0.0,ἔχειν,(),False,x̓xxxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἔχειν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,κοινωνίαν,(),False,xxx̀x,False,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,κοινωνίαν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,ὅλου,(),False,xxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,,
ὅλου,ὅλου,ὅλος,ὅλου,λου,ο,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,κοινωνίαν,(),False,x̔́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
κοινωνίαν,κοινωνίαν,κοινωνία,κοινωνίαν,́αν,κ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἀπηκριβῶσθαι,(),False,xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,
εὐαρμόστως,εὐαρμόστως,εὐαρμόστως,εὐαρμόστως,τως,ε,-20.0,ADV,d--------,,advmod,0.0,ἀπηκριβῶσθαι,(),False,xx̓xxxx́xxxx,False,False,False,False,,,,,,,,,,
ἀπηκριβῶσθαι,ἀπηκριβῶσθαι,ἀπηκριβῶσθαι,ἀπηκριβῶσθαι,θαι,α,-20.0,VERB,v--rne---,Aspect=Perf|Tense=Past|VerbForm=Inf|Voice=Mid,conj,0.0,ἔχειν,"(ἔχειν,)",False,x̓xxxx͂xxxx,False,False,False,False,,,,,,Past,Inf,Mid,Perf,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἀγαθὸς,(),False,·,False,True,False,False,,,,,,,,,,
μετὰ,μετὰ,μετὰ,μετὰ,τὰ,μ,-20.0,ADP,r--------,,case,0.0,συμμετρίας,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,προσανέπλαττε,(),False,xx̀,False,False,False,False,,,,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,συμμετρίας,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
συμμετρίας,συμμετρίας,συμμετρία,συμμετρίας,́ας,σ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,προσανέπλαττε,"(εὐσαρκίαν,)",False,xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,συμμετρίας,(),False,xxx̀,False,False,False,False,,,,,,,,,,
εὐσαρκίαν,εὐσαρκίαν,εὐσαρκία,εὐσαρκίαν,́αν,ε,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,συμμετρίας,"(συμμετρίας,)",False,xx̓xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,
προσανέπλαττε,προσανέπλαττε,προσανέπλαττε,προσανέπλαττε,ττε,π,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,προσανέπλαττε,"(ἠνθογράφει,)",False,xxxx́xxxx,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act,Imp,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,προσανέπλαττε,(),False,xxx̀,False,False,False,False,,,,,,,,,,
εὔχροιαν,εὔχροιαν,εὔχροιη,εὔχροιαν,ιαν,ε,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἠνθογράφει,(),False,xx̓́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἠνθογράφει,ἠνθογράφει,ἠνθογράφει,ἠνθογράφει,φει,η,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,conj,0.0,προσανέπλαττε,"(προσανέπλαττε,)",False,x̓xxxx́xxx,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act,Imp,
βουλόμενος,βουλόμενος,βουλόμενος,βουλόμενος,νος,β,-20.0,VERB,v-sppemn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,ἠνθογράφει,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,,,Pres,Part,Mid,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔνι,(),False,",",False,True,False,False,,,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,SCONJ,c--------,,mark,0.0,ἔνι,(),False,x̔x,False,False,False,False,,,,,,,,,,
ἔνι,ἔνι,ἔνειμι,ἔνι,́νι,ε,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,dep,0.0,βουλόμενος,"(ὀφθῆναι,)",False,x̓́xx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,,
μάλιστα,μάλιστα,μάλιστα,μάλιστα,στα,μ,-20.0,ADV,d--------,,advmod,0.0,ἔνι,(),False,xx́xxxx,False,False,False,False,,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ὀφθῆναι,(),False,",",False,True,False,False,,,,,,,,,,
κάλλιστον,κάλλιστον,κάλλιστος,κάλλιστον,τον,κ,-20.0,ADJ,a-s---mas,Case=Acc|Degree=Sup|Gender=Masc|Number=Sing,xcomp,0.0,ὀφθῆναι,(),False,xx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,Sup
ὀφθῆναι,ὀφθῆναι,ὀφθῆναι,ὀφθῆναι,ναι,ο,-20.0,VERB,v--anp---,Tense=Past|VerbForm=Inf|Voice=Pass,conj,0.0,ἔνι,"(ἔνι,)",False,x̓xxx͂xxx,False,False,False,False,,,,,,Past,Inf,Pass,,
τὸν,τὸν,τὸς,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἄνθρωπον,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
πρῶτον,πρῶτον,πρῶτος,πρῶτον,τον,π,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,ἄνθρωπον,(),False,xxx͂xxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
ἄνθρωπον,ἄνθρωπον,ἄνθρωπος,ἄνθρωπον,πον,α,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nsubj,0.0,ὀφθῆναι,(),False,x̓́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,προσανέπλαττε,(),False,.,False,True,False,False,,,,,,,,,,
