orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,PronType,Definite,Degree
γενέσεως,γενέσεως,γενέσεως,γενέσεως,εως,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,βίβλος,(),False,xxxx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,,,
οὐρανοῦ,οὐρανοῦ,οὐρανοῦ,οὐρανοῦ,οῦ,ο,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,γενέσεως,"(γῆς,)",False,xx̓xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,οὐρανοῦ,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
γῆς,γῆς,γῆ,γῆς,ῆς,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,οὐρανοῦ,"(οὐρανοῦ,)",False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,,
ὅτε,ὅτε,ὅτε,ὅτε,́τε,ο,-20.0,SCONJ,G-,,mark,0.0,ἐγένετο,(),False,x̔́xx,False,False,False,False,,,,,,,,,,,
ἐγένετο,ἐγένετο,ἐγένετο,ἐγένετο,ετο,ε,-20.0,VERB,v3saim---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,advcl,0.0,ἐποίησε,(),False,x̓xx́xxxx,False,False,False,False,,,Sing,Past,Fin,Mid,Ind,3,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐγένετο,(),False,",",False,True,False,False,,,,,,,,,,,
ᾗ,ᾗ,ᾗ,ᾗ,̔͂ͅ,η,-20.0,PRON,p-s---fd-,Case=Dat|Gender=Fem|Number=Sing|PronType=Rel,det,0.0,ἡμέρᾳ,(),False,x̔͂ͅ,False,False,False,False,Dat,Fem,Sing,,,,,,Rel,,
ἡμέρᾳ,ἡμέρᾳ,ἡμέρᾳ,ἡμέρᾳ,ρᾳ,η,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,ἐποίησε,(),False,x̔xx́xxͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,,
ἐποίησε,ἐποίησε,ἐποίησε,ἐποίησε,ησε,ε,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,acl,0.0,βίβλος,(),False,x̓xxx́xxx,False,False,False,False,,,Sing,Past,Fin,Act,Ind,3,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,θεὸς,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,,
θεὸς,θεὸς,θεὸς,θεὸς,ὸς,θ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἐποίησε,(),False,xxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,οὐρανὸν,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,,
οὐρανὸν,οὐρανὸν,οὐρανὸν,οὐρανὸν,ὸν,ο,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἐποίησε,"(γῆν,)",False,xx̓xxxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,οὐρανὸν,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Definite=Def|Gender=Fem|Number=Sing|PronType=Dem,det,0.0,γῆν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,Dem,Def,
γῆν,γῆν,γῆ,γῆν,ῆν,γ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,οὐρανὸν,"(οὐρανὸν,)",False,xx͂x,False,False,False,False,Acc,Fem,Sing,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,καὶ,(),False,",",False,True,False,False,,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,C-,,cc,0.0,βίβλος,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
πᾶν,πᾶν,πᾶς,πᾶν,ᾶν,π,-20.0,DET,Px,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,γενέσθαι,(),False,xx͂x,False,False,False,False,Acc,Neut,Sing,,,,,,,,
χλωρὸν,χλωρὸν,χλωρὸν,χλωρὸν,ὸν,χ,-20.0,ADJ,A-,"Case=Acc|Degree=Pos|Gender=Masc,Neut|Number=Sing",nmod,0.0,πᾶν,(),False,xxxx̀x,False,False,False,False,Acc,"Masc,Neut",Sing,,,,,,,,Pos
