orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Tense,VerbForm,Voice,Mood,Number,Person,Case,Gender,Aspect
πάντα᾽,πάντα᾽,πάντα᾽,πάντα᾽,τα᾽,π,-20.0,PUNCT,V-,,ROOT,0.0,πάντα᾽,(),False,xx́xxx᾽,False,False,False,False,,,,,,,,,
ὅσα,ὅσα,ὅσος,ὅσα,́σα,ο,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nummod,0.0,κτήνεσιν,(),False,x̔́xx,False,False,False,False,,,,,Plur,,Nom,Neut,
χιλὸς,χιλὸς,χιλὸς,χιλὸς,ὸς,χ,-20.0,DET,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nummod,0.0,ὅσα,(),False,xxxx̀x,False,False,False,False,,,,,Sing,,Nom,Masc,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,κτήνεσιν,(),False,xx̀x,False,False,False,False,,,,,,,,,
κτήνεσιν,κτήνεσιν,κτήνος,κτήνεσιν,σιν,κ,-20.0,NOUN,Nb,Case=Dat|Gender=Neut|Number=Plur,obl,0.0,ἔμελλε,(),False,xxx́xxxx,False,False,False,False,,,,,Plur,,Dat,Neut,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀνθρώποις,(),False,",",False,True,False,False,,,,,,,,,
ἀνθρώποις,ἀνθρώποις,ἀνθρώποις,ἀνθρώποις,οις,α,-20.0,NOUN,n-p---md-,Case=Dat|Gender=Masc|Number=Plur,obj,0.0,κτήνεσιν,(),False,x̓xxxx́xxxx,False,False,False,False,,,,,Plur,,Dat,Masc,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,κτήνεσιν,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,ά,',’,’,-20.0,ADV,d--------,,advmod,0.0,ἔμελλε,(),False,’,False,True,False,False,,,,,,,,,
ἔμελλε,ἔμελλε,ἔμελλε,ἔμελλε,λλε,ε,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἔμελλε,(),False,x̓́xxxx,False,False,False,False,Past,Fin,Act,Ind,Sing,3,,,Imp
ἔσεσθαι,ἔσεσθαι,ἔσεσθαι,ἔσεσθαι,θαι,ε,-20.0,AUX,v--fnm---,Tense=Fut|VerbForm=Inf|Voice=Mid,cop,0.0,ἔμελλε,(),False,x̓́xxxx,False,False,False,False,Fut,Inf,Mid,,,,,,
τροφή.,τροφή.,τροφή.,τροφή.,ή.,τ,-20.0,PUNCT,u--------,,punct,0.0,ἔμελλε,(),False,xxxx́.,False,False,False,False,,,,,,,,,
