orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,PronType,Aspect
ἐπιγίνεται,ἐπιγίνεται,ἐπιγίγνομαι,ἐπιγίνεται,ται,ε,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,conj,0.0,προευαγγελίζεται,"(προευαγγελίζεται,)",False,x̓xxxx́xxxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Mid,,
ἡλίῳ,ἡλίῳ,ἡλίῳ,ἡλίῳ,́ῳ,η,-20.0,NOUN,Nb,Case=Dat|Gender=Masc|Number=Sing,iobj,0.0,ἐπιγίνεται,(),False,x̔xx́xͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,φορὰν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἀθρόαν,ἀθρόαν,ἀθρόος,ἀθρόαν,́αν,α,-20.0,ADJ,A-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,φορὰν,(),False,x̓xxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,S-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,σκότους,(),False,xxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,,
σκότους,σκότους,σκότος,σκότους,ους,σ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,φορὰν,(),False,xxx́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,,,
φορὰν,φορὰν,φορὰ,φορὰν,ὰν,φ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐκδεχομένη,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
πρᾴως,πρᾴως,πρᾴος,πρᾴως,ͅως,π,-20.0,ADV,d--------,,advmod,0.0,ἐκδεχομένη,(),False,xxx́ͅxx,False,False,False,False,,,,,,,,,,
ἐκδεχομένη,ἐκδεχομένη,ἐκδεχομένη,ἐκδεχομένη,́νη,ε,-20.0,VERB,V-,Case=Nom|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,ἐπιγίνεται,(),False,x̓xxxx́xx,False,False,False,False,Nom,Fem,Sing,,,Pres,Part,Mid,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἑσπέρα,(),False,.,False,True,False,False,,,,,,,,,,
