orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Degree
ἀμείνων,ἀμείνων,ἀμείνων,ἀμείνων,νων,α,-20.0,ADJ,a-s---mnc,Case=Nom|Degree=Cmp|Gender=Masc|Number=Sing,ROOT,0.0,ἀμείνων,"(αὐτός,)",False,x̓xxx́xxx,False,False,False,False,Nom,Masc,Sing,,,,,,Cmp
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,κοσμούμενος,(),False,",",False,True,False,False,,,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,κοσμούμενος,(),False,xx̓,False,False,False,False,,,,,,,,,
κοσμούμενος,κοσμούμενος,κοσμούμενος,κοσμούμενος,νος,κ,-20.0,VERB,v-sppemn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,ἀμείνων,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,,,Pres,Part,Mid,
κάλλει,κάλλει,κάλλος,κάλλει,λει,κ,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,obj,0.0,κοσμούμενος,(),False,xx́xxxx,False,False,False,False,Dat,Neut,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,κόσμος,(),False,",",False,True,False,False,,,,,,,,,
κόσμος,κόσμος,κόσμος,κόσμος,μος,κ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,αὐτός,(),False,xx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἀμείνων,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,ά,',’,’,-20.0,CCONJ,c--------,,cc,0.0,ἀμείνων,(),False,’,False,True,False,False,,,,,,,,,
αὐτός,αὐτός,αὐτός,αὐτός,ός,α,-20.0,PRON,p-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,ἀμείνων,"(ἀμείνων,)",False,xx̓xx́x,False,False,False,False,Nom,Masc,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,αὐτός,(),False,",",False,True,False,False,,,,,,,,,
εἰ,εἰ,εἰ,εἰ,εἰ,ε,-20.0,SCONJ,c--------,,mark,0.0,δεῖ,(),False,xx̓,False,False,False,False,,,,,,,,,
δεῖ,δεῖ,δεῖ,δεῖ,εῖ,δ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,advcl,0.0,ἀμείνων,(),False,xxx͂,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,
τἀληθὲς,τἀληθὲς,τἀληθὲς,τἀληθὲς,ὲς,τ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,εἰπεῖν,(),False,xx̓xxxx̀x,False,False,False,False,Acc,Neut,Sing,,,,,,
