orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Aspect,Degree
ποσότητα,ποσότητα,ποσότης,ποσότητα,ητα,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἔχων,"(ποιότητας,)",False,xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ποσότητα,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,ποιότητας,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἰδέαις,(),False,x̓x,False,False,False,False,,,,,,,,,,
πολυμόρφοις,πολυμόρφοις,πολυμόρφοις,πολυμόρφοις,οις,π,-20.0,ADJ,a-p---fd-,Case=Dat|Gender=Fem|Number=Plur,nmod,0.0,ἰδέαις,(),False,xxxx́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,,,
ἰδέαις,ἰδέαις,ἰδέα,ἰδέαις,αις,ι,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,nmod,0.0,ποιότητας,(),False,x̓xx́xxx,False,False,False,False,Dat,Fem,Plur,,,,,,,
ποιότητας,ποιότητας,ποιότητας,ποιότητας,τας,π,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,conj,0.0,ποσότητα,"(ποσότητα,)",False,xxxx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,τέλειος,(),False,·,False,True,False,False,,,,,,,,,,
ἀποτίκτεται,ἀποτίκτεται,ἀποτίκτω,ἀποτίκτεται,ται,α,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,ἀποτίκτεται,(),False,x̓xxxx́xxxx,False,False,False,False,,,Sing,Pres,Fin,Mid,Ind,3,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἀποτίκτεται,(),False,xx̀x,False,False,False,False,,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ἀποτίκτεται,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,καρπὸς,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
καρπὸς,καρπὸς,καρπὸς,καρπὸς,ὸς,κ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἀποτίκτεται,(),False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,
ἐοικὼς,ἐοικὼς,ἐοικὼς,ἐοικὼς,ὼς,ε,-20.0,VERB,v-srpamn-,Aspect=Perf|Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἀποτίκτεται,(),False,x̓xxxx̀x,False,False,False,False,Nom,Masc,Sing,Past,Part,Act,,,Perf,
ἀμερέσι,ἀμερέσι,ἀμερέσι,ἀμερέσι,́σι,α,-20.0,ADJ,a-p---nd-,Case=Dat|Gender=Neut|Number=Plur,nmod,0.0,ψήγμασιν,(),False,x̓xxxx́xx,False,False,False,False,Dat,Neut,Plur,,,,,,,
ψήγμασιν,ψήγμασιν,ψήγμα,ψήγμασιν,σιν,ψ,-20.0,NOUN,n-p---nd-,Case=Dat|Gender=Neut|Number=Plur,obj,0.0,ἐοικὼς,(),False,xx́xxxx,False,False,False,False,Dat,Neut,Plur,,,,,,,
ὑπὸ,ὑπὸ,ὑπὸ,ὑπὸ,πὸ,υ,-20.0,ADP,r--------,,case,0.0,βραχύτητος,(),False,x̔xx̀,False,False,False,False,,,,,,,,,,
βραχύτητος,βραχύτητος,βραχύτης,βραχύτητος,τος,β,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,ἀποτίκτεται,(),False,xxxx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
μόλις,μόλις,μόλις,μόλις,λις,μ,-20.0,ADV,d--------,,advmod,0.0,ὁρατοῖς,(),False,xx́xxx,False,False,False,False,,,,,,,,,,
ὁρατοῖς,ὁρατοῖς,ὁρατοῖς,ὁρατοῖς,ῖς,ο,-20.0,ADJ,a-p---nd-,Case=Dat|Gender=Neut|Number=Plur,nmod,0.0,βραχύτητος,(),False,x̔xxxx͂x,False,False,False,False,Dat,Neut,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,φαίη,(),False,",",False,True,False,False,,,,,,,,,,
ἅπερ,ἅπερ,ασ̔́περ,ἅπερ,περ,α,-20.0,PRON,p-p---na-,Case=Acc|Gender=Neut|Number=Plur,nsubj,0.0,φαίη,(),False,x̔́xxx,False,False,False,False,Acc,Neut,Plur,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,σκοποῦ,(),False,xx̓,False,False,False,False,,,,,,,,,,
ἀπὸ,ἀπὸ,ἀπὸ,ἀπὸ,πὸ,α,-20.0,ADP,r--------,,case,0.0,σκοποῦ,(),False,x̓xx̀,False,False,False,False,,,,,,,,,,
σκοποῦ,σκοποῦ,σκοποῦ,σκοποῦ,οῦ,σ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,obl,0.0,φαίη,(),False,xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
φαίη,φαίη,φαίη,φαίη,ίη,φ,-20.0,VERB,v3spoa---,Mood=Opt|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,acl,0.0,ψήγμασιν,(),False,xxx́x,False,False,False,False,,,Sing,Pres,Fin,Act,Opt,3,,
τις,τις,τις,τις,τις,τ,-20.0,PRON,p-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,φαίη,(),True,xxx,True,False,False,False,Nom,Masc,Sing,,,,,,,
ἂν,ἂν,ἂν,ἂν,̓̀ν,α,-20.0,ADV,d--------,,advmod,0.0,φαίη,(),False,x̓̀x,False,False,False,False,,,,,,,,,,
εἶναι,εἶναι,εἶναι,εἶναι,ναι,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,cop,0.0,αἰσθητά,(),False,xx̓͂xxx,False,False,False,False,,,,Pres,Inf,Act,,,,
πρῶτα,πρῶτα,πρῶτος,πρῶτα,͂τα,π,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,xcomp,0.0,αἰσθητά,(),False,xxx͂xx,False,False,False,False,Acc,Neut,Plur,,,,,,,
αἰσθητά,αἰσθητά,αἰσθητά,αἰσθητά,τά,α,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,obj,0.0,φαίη,(),False,xx̓xxxx́,False,False,False,False,Nom,Neut,Plur,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἀποτίκτεται,(),False,·,False,True,False,False,,,,,,,,,,
μετὰ,μετὰ,μετὰ,μετὰ,τὰ,μ,-20.0,ADV,d--------,,advmod,0.0,ταύτα᾽,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ταύτα᾽,(),False,xx̀,False,False,False,False,,,,,,,,,,
ταύτα᾽,ταύτα᾽,ταύτα᾽,ταύτα᾽,τα᾽,τ,-20.0,PUNCT,V-,,advcl,0.0,συναύξεται,(),False,xxx́xx᾽,False,False,False,False,,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,τροφῆς,(),False,x̓x,False,False,False,False,,,,,,,,,,
τοὐ,τοὐ,τοὐ,τοὐ,οὐ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,τροφῆς,(),False,xxx̓,False,False,False,False,Gen,Neut,Sing,,,,,,,
κατά,κατά,κατά,κατά,τά,κ,-20.0,ADP,r--------,,case,0.0,ὀλίγον,(),False,xxxx́,False,False,False,False,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,r--------,,case,0.0,ὀλίγον,(),False,’,False,True,False,False,,,,,,,,,,
ὀλίγον,ὀλίγον,ὀλίγος,ὀλίγον,γον,ο,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,τοὐ,(),False,x̓xx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
ἔκ,ἔκ,ἔκ,ἔκ,̓́κ,ε,-20.0,ADP,r--------,,case,0.0,τροφῆς,(),False,x̓́x,False,False,False,False,,,,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,τροφῆς,(),True,xx,True,False,False,False,,,,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,τροφῆς,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἐποχετευομένης,ἐποχετευομένης,ἐποχετευομένης,ἐποχετευομένης,νης,ε,-20.0,VERB,v-sppefg-,Case=Gen|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,nmod,0.0,τροφῆς,(),False,x̓xxxx́xxx,False,False,False,False,Gen,Fem,Sing,Pres,Part,Mid,,,,
τροφῆς,τροφῆς,τροφῆ,τροφῆς,ῆς,τ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,συναύξεται,(),False,xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἄρδει,(),False,",",False,True,False,False,,,,,,,,,,
ἣ,ἣ,ἣ,ἣ,ἣ,η,-20.0,PRON,p-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obj,0.0,ἄρδει,(),False,x̔̀,False,False,False,False,Dat,Fem,Sing,,,,,,,
ἄρδει,ἄρδει,ἄρδει,ἄρδει,δει,α,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,acl,0.0,τροφῆς,"(εὐκρασίας,)",False,x̓́xxxx,False,False,False,False,,,Sing,Pres,Fin,Act,Ind,3,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,δένδρον,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,
δένδρον,δένδρον,δένδρον,δένδρον,ρον,δ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,ἄρδει,(),False,xx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἄρδει,(),False,",",False,True,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,δένδρον,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,εὐκρασίας,(),False,x̓x,False,False,False,False,,,,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,εὐκρασίας,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
εὐκρασίας,εὐκρασίας,εὐκρασία,εὐκρασίας,́ας,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,ἄρδει,"(ἄρδει,)",False,xx̓xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,πνευμάτων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
πνευμάτων,πνευμάτων,πνευμάτων,πνευμάτων,των,π,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,εὐκρασίας,(),False,xxxx́xxx,False,False,False,False,Gen,Neut,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ζωπυρεῖται,(),False,",",False,True,False,False,,,,,,,,,,
ἃ,ἃ,ἃ,ἃ,ἃ,α,-20.0,PRON,p-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,ζωπυρεῖται,(),False,x̔̀,False,False,False,False,Nom,Neut,Plur,,,,,,,
ψυχραῖς,ψυχραῖς,ψυχραῖς,ψυχραῖς,ῖς,ψ,-20.0,ADJ,a-p---fd-,Case=Dat|Gender=Fem|Number=Plur,amod,0.0,αὔραις,"(μαλακωτέραις,)",False,xxxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,,,
ἅμα,ἅμα,ἅμα,ἅμα,́μα,α,-20.0,ADV,d--------,,advmod,0.0,ψυχραῖς,(),False,x̔́xx,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ψυχραῖς,(),False,xxx̀,False,False,False,False,,,,,,,,,,
μαλακωτέραις,μαλακωτέραις,μαλακωτέραις,μαλακωτέραις,αις,μ,-20.0,ADJ,a-p---fdc,Case=Dat|Degree=Cmp|Gender=Fem|Number=Plur,conj,0.0,ψυχραῖς,"(ψυχραῖς,)",False,xxxx́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,,,Cmp
αὔραις,αὔραις,αὔρα,αὔραις,αις,α,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,obj,0.0,ζωπυρεῖται,(),False,xx̓́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,,,
ζωπυρεῖται,ζωπυρεῖται,ζωπυρεῖται,ζωπυρεῖται,ται,ζ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,advcl,0.0,συναύξεται,"(τιθηνεῖται,)",False,xxxx͂xxx,False,False,False,False,,,Sing,Pres,Fin,Mid,Ind,3,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ζωπυρεῖται,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τιθηνεῖται,τιθηνεῖται,τιθηνεῖται,τιθηνεῖται,ται,τ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,conj,0.0,ζωπυρεῖται,"(ζωπυρεῖται,)",False,xxxx͂xxx,False,False,False,False,,,Sing,Pres,Fin,Mid,Ind,3,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ζωπυρεῖται,(),False,",",False,True,False,False,,,,,,,,,,
συναύξεται,συναύξεται,συναύγω,συναύξεται,ται,σ,-20.0,VERB,v3sfim---,Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Mid,ROOT,0.0,συναύξεται,(),False,xxxx́xxxx,False,False,False,False,,,Sing,Fut,Fin,Mid,Ind,3,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,ὄγκον,(),False,xxx̀x,False,False,False,False,,,,,,,,,,
ὄγκον,ὄγκον,ὄγκος,ὄγκον,κον,ο,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obl,0.0,ἐπιδιδοὺς,(),False,x̓́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
ἐπιδιδοὺς,ἐπιδιδοὺς,ἐπιδιδοὺς,ἐπιδιδοὺς,ὺς,ε,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,συναύξεται,(),False,x̓xxxx̀x,False,False,False,False,Nom,Masc,Sing,Pres,Part,Act,,,,
τελειότατον,τελειότατον,τελειός,τελειότατον,τον,τ,-20.0,ADJ,a-s---mas,Case=Acc|Degree=Sup|Gender=Masc|Number=Sing,nmod,0.0,ἐπιδιδοὺς,(),False,xxxx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,Sup
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,συναύξεται,(),False,·,False,True,False,False,,,,,,,,,,
σὺν,σὺν,σὺν,σὺν,ὺν,σ,-20.0,ADP,r--------,,case,0.0,μεγέθει,(),False,xx̀x,False,False,False,False,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἀλλάττει,(),False,xx̀,False,False,False,False,,,,,,,,,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---nd-,Case=Dat|Gender=Neut|Number=Sing,det,0.0,μεγέθει,(),False,xx͂ͅ,False,False,False,False,Dat,Neut,Sing,,,,,,,
μεγέθει,μεγέθει,μεγέθει,μεγέθει,θει,μ,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,obl,0.0,ἀλλάττει,(),False,xxxx́xxx,False,False,False,False,Dat,Neut,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ποιότητας,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,ποιότητας,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,,
ποιότητας,ποιότητας,ποιότητας,ποιότητας,τας,π,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἀλλάττει,(),False,xxxx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,,,
ἀλλάττει,ἀλλάττει,ἀλλάττω,ἀλλάττει,τει,α,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ἀλλάττει,(),False,x̓xxx́xxxx,False,False,False,False,,,Sing,Pres,Fin,Act,Ind,3,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,καθάπερ,(),False,",",False,True,False,False,,,,,,,,,,
καθάπερ,καθάπερ,καθά,καθάπερ,περ,κ,-20.0,ADV,d--------,,mark,0.0,ποικιλλόμενον,(),False,xxxx́xxx,False,False,False,False,,,,,,,,,,
ὑπὸ,ὑπὸ,ὑπὸ,ὑπὸ,πὸ,υ,-20.0,ADP,r--------,,case,0.0,ἐπιστήμης,(),False,x̔xx̀,False,False,False,False,,,,,,,,,,
γραφικῆς,γραφικῆς,γραφικῆ,γραφικῆς,ῆς,γ,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἐπιστήμης,(),False,xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἐπιστήμης,ἐπιστήμης,ἐπιστήμη,ἐπιστήμης,μης,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,ποικιλλόμενον,(),False,x̓xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
χρώμασι,χρώμασι,χρώμα,χρώμασι,ασι,χ,-20.0,NOUN,n-p---nd-,Case=Dat|Gender=Neut|Number=Plur,nmod,0.0,ποικιλλόμενον,(),False,xxx́xxxx,False,False,False,False,Dat,Neut,Plur,,,,,,,
διαφόροις,διαφόροις,διαφόρος,διαφόροις,οις,δ,-20.0,ADJ,a-p---nd-,Case=Dat|Gender=Neut|Number=Plur,nmod,0.0,χρώμασι,(),False,xxxx́xxxx,False,False,False,False,Dat,Neut,Plur,,,,,,,
ποικιλλόμενον,ποικιλλόμενον,ποικιλλόμενον,ποικιλλόμενον,νον,π,-20.0,VERB,v-sppenn-,Case=Nom|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,ἀλλάττει,(),False,xxxx́xxxx,False,False,False,False,Nom,Neut,Sing,Pres,Part,Mid,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἀλλάττει,(),False,.,False,True,False,False,,,,,,,,,,
