orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Aspect,Degree
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,ἀναχαιτίζοντες,(),False,’,False,True,False,False,,,,,,,,,,
ἀναχαιτίζοντες,ἀναχαιτίζοντες,ἀναχαιτίζω,ἀναχαιτίζοντες,τες,α,-20.0,VERB,v-pppamn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,conj,0.0,ἐφιέντες,"(ἄγουσι, ἐφιέντες, θέοι)",False,x̓xxxx́xxxx,False,False,False,False,Nom,Masc,Plur,Pres,Part,Act,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,εἰ,(),False,",",False,True,False,False,,,,,,,,,,
εἰ,εἰ,εἰ,εἰ,εἰ,ε,-20.0,SCONJ,c--------,,mark,0.0,φορᾷ,(),False,xx̓,False,False,False,False,,,,,,,,,,
φορᾷ,φορᾷ,φορᾷ,φορᾷ,ᾷ,φ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,ἐφιέντες,(),False,xxxx͂ͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,δέοντος,(),False,xxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,,
δέοντος,δέοντος,δέω,δέοντος,τος,δ,-20.0,VERB,v-sppang-,Case=Gen|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,nmod,0.0,φορᾷ,(),False,xx́xxxx,False,False,False,False,Gen,Neut,Sing,Pres,Part,Act,,,,
πλείονι,πλείονι,πλείων,πλείονι,ονι,π,-20.0,ADJ,A-,Case=Acc|Degree=Cmp|Gender=Neut|Number=Plur,nmod,0.0,φορᾷ,(),False,xxxx́xxx,False,False,False,False,Acc,Neut,Plur,,,,,,,Cmp
θέοι,θέοι,θέος,θέοι,́οι,θ,-20.0,NOUN,n-p---mn-,Case=Nom|Gender=Masc|Number=Plur,conj,0.0,ἐφιέντες,"(ἄγουσι, ἐφιέντες, ἀναχαιτίζοντες)",False,xx́xx,False,False,False,False,Nom,Masc,Plur,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἄγουσι,(),False,·,False,True,False,False,,,,,,,,,,
οἱ,οἱ,οἱ,οἱ,οἱ,ο,-20.0,DET,l-p---mn-,Case=Nom|Gender=Masc|Number=Plur,det,0.0,κυβερνῆται,(),False,xx̔,False,False,False,False,Nom,Masc,Plur,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἄριστοι,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,dep,0.0,κυβερνῆται,(),False,’,False,True,False,False,,,,,,,,,,
αὖ,αὖ,αὖ,αὖ,ὖ,α,-20.0,ADV,d--------,,advmod,0.0,κυβερνῆται,(),False,xx̓͂,False,False,False,False,,,,,,,,,,
κυβερνῆται,κυβερνῆται,κυβερνῆτης,κυβερνῆται,ται,κ,-20.0,NOUN,n-p---mn-,Case=Nom|Gender=Masc|Number=Plur,nsubj,0.0,ἄριστοι,(),False,xxxx͂xxx,False,False,False,False,Nom,Masc,Plur,,,,,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,χωρίον,(),False,xxx̀x,False,False,False,False,,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,χωρίον,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,
τῆς,τῆς,τῆ,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,νεὼς,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
νεὼς,νεὼς,νεὼς,νεὼς,ὼς,ν,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,χωρίον,(),False,xxx̀x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἔσχατον,ἔσχατον,ἔσχατος,ἔσχατον,τον,ε,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,χωρίον,(),False,x̓́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
χωρίον,χωρίον,χωρίον,χωρίον,́ον,χ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,παρελθόντες,(),False,xxxx́xx,False,False,False,False,Acc,Neut,Sing,,,,,,,
πρύμναν,πρύμναν,πρύμνα,πρύμναν,ναν,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,παρελθόντες,(),False,xxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
παρελθόντες,παρελθόντες,παρελθόντες,παρελθόντες,τες,π,-20.0,VERB,v-papamn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἄριστοι,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Plur,Past,Part,Act,,,,
πάντων,πάντων,πάντος,πάντων,των,π,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,dep,0.0,παρελθόντες,(),False,xx́xxxx,False,False,False,False,Gen,Masc,Plur,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,advmod,0.0,εἰπεῖν,(),False,x̔x,False,False,False,False,,,,,,,,,,
ἔπος,ἔπος,ἔπος,ἔπος,πος,ε,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,εἰπεῖν,(),False,x̓́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
εἰπεῖν,εἰπεῖν,εἰπεῖν,εἰπεῖν,ῖν,ε,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,advcl,0.0,πάντων,(),False,xx̓xxx͂x,False,False,False,False,,,,Past,Inf,Act,,,,
εἰσι,εἰσι,εἰμί,εἰσι,̓σι,ε,-20.0,AUX,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,ἄριστοι,(),False,xx̓xx,False,False,False,False,,,Plur,Pres,Fin,Act,Ind,3,,
ἄριστοι,ἄριστοι,ἄριστος,ἄριστοι,τοι,α,-20.0,ADJ,a-p---mns,Case=Nom|Degree=Sup|Gender=Masc|Number=Plur,ROOT,0.0,ἄριστοι,(),False,x̓́xxxx,False,False,False,False,Nom,Masc,Plur,,,,,,,Sup
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ἐμπλεόντων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
ἐμπλεόντων,ἐμπλεόντων,ἐμπλεόντων,ἐμπλεόντων,των,ε,-20.0,VERB,v-pppamg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,nmod,0.0,ἄριστοι,(),False,x̓xxxx́xxxx,False,False,False,False,Gen,Masc,Plur,Pres,Part,Act,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἅτε,(),False,",",False,True,False,False,,,,,,,,,,
ἅτε,ἅτε,ἅτε,ἅτε,́τε,α,-20.0,ADV,d--------,,dep,0.0,ἄριστοι,(),False,x̔́xx,False,False,False,False,,,,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,νεὼς,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
νεὼς,νεὼς,νεὼς,νεὼς,ὼς,ν,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,dep,0.0,ἄριστοι,"(ἔχοντες,)",False,xxx̀x,False,False,False,False,Gen,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,νεὼς,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,σωτηρίαν,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,αὐτῇ,(),False,x̓x,False,False,False,False,,,,,,,,,,
αὐτῇ,αὐτῇ,αὐτῇ,αὐτῇ,ῇ,α,-20.0,ADJ,a-s---fd-,Case=Dat|Gender=Fem|Number=Sing,nmod,0.0,τῶν,(),False,xx̓xx͂ͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,σωτηρίαν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
σωτηρίαν,σωτηρίαν,σωτηρία,σωτηρίαν,́αν,σ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἔχοντες,(),False,xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,χερσὶ,(),False,x̓x,False,False,False,False,,,,,,,,,,
χερσὶ,χερσὶ,χερσὶ,χερσὶ,σὶ,χ,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,nmod,0.0,τῖς,(),False,xxxx̀,False,False,False,False,Dat,Fem,Plur,,,,,,,
τῖς,τῖς,τῖς,τῖς,ῖς,τ,-20.0,PRON,p-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἔχοντες,(),False,xx͂x,False,False,False,False,Nom,Masc,Sing,,,,,,,
αὑτῶν,αὑτῶν,αὑτῶν,αὑτῶν,ῶν,α,-20.0,PRON,p-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,τῖς,(),False,xx̔xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
ἔχοντες,ἔχοντες,ἔχω,ἔχοντες,τες,ε,-20.0,VERB,v-pppamn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,conj,0.0,νεὼς,"(νεὼς,)",False,x̓́xxxx,False,False,False,False,Nom,Masc,Plur,Pres,Part,Act,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἄριστοι,(),False,.,False,True,False,False,,,,,,,,,,
