orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect,Degree,PronType
συνελόντι,συνελόντι,συνελόντι,συνελόντι,ντι,σ,-20.0,VERB,V-,Case=Dat|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,xcomp,0.0,φράσαι,(),False,xxxx́xxx,False,False,False,False,Dat,Masc,Sing,,,Pres,Part,Act,,,
φράσαι,φράσαι,φράζω,φράσαι,σαι,φ,-20.0,VERB,v-sfpafd-,Case=Dat|Gender=Fem|Number=Sing|Tense=Fut|VerbForm=Part|Voice=Act,conj,0.0,σπουδαί,"(ἐξευμαρισθεῖεν, σπουδαί, φιλοτιμίαι)",False,xxx́xxx,False,False,False,False,Dat,Fem,Sing,,,Fut,Part,Act,,,
ταῖς,ταῖς,ταῖς,ταῖς,ῖς,τ,-20.0,DET,l-p---fd-,Case=Dat|Gender=Fem|Number=Plur,det,0.0,ἀρεταῖς,(),False,xxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,,,,
ἀρεταῖς,ἀρεταῖς,ἀρεταῖς,ἀρεταῖς,ῖς,α,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,iobj,0.0,φράσαι,"(ἐνεργείαις,)",False,x̓xxxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀρεταῖς,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
ταῖς,ταῖς,ταῖς,ταῖς,ῖς,τ,-20.0,DET,l-p---fd-,Case=Dat|Gender=Fem|Number=Plur,det,0.0,ἐνεργείαις,(),False,xxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,,,,
κατά,κατά,κατά,κατά,τά,κ,-20.0,ADP,r--------,,case,0.0,ἀρετὰς,(),False,xxxx́,False,False,False,False,,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,r--------,,case,0.0,ἀρετὰς,(),False,’,False,True,False,False,,,,,,,,,,,
ἀρετὰς,ἀρετὰς,ἀρετὰς,ἀρετὰς,ὰς,α,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,ἐνεργείαις,(),False,x̓xxxx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,,,
ἐνεργείαις,ἐνεργείαις,ἐνεργεία,ἐνεργείαις,αις,ε,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,conj,0.0,ἀρεταῖς,"(ἀρεταῖς,)",False,x̓xxxx́xxx,False,False,False,False,Dat,Fem,Plur,,,,,,,,
