orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Definite,PronType
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,πρόσωπον,(),False,xx̓x,False,False,False,False,,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Definite=Def|Gender=Neut|Number=Sing|PronType=Dem,det,0.0,πρόσωπον,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,Def,Dem
πρόσωπον,πρόσωπον,πρόσωπον,πρόσωπον,πον,π,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,ἐνεφύσησε,(),False,xxx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
αὐτοῦ,αὐτοῦ,αὐτοῦ,αὐτοῦ,οῦ,α,-20.0,PRON,p-s---mg-,Case=Gen|Gender=Masc|Number=Sing|Person=3|PronType=Prs,det,0.0,πρόσωπον,(),False,xx̓xxx͂,False,False,False,False,Gen,Masc,Sing,,3,,,,,Prs
πνοὴν,πνοὴν,πνοὴν,πνοὴν,ὴν,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐνεφύσησε,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
ζωῆς,ζωῆς,ζωῆς,ζωῆς,ῆς,ζ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,πνοὴν,(),False,xxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
(,(,(,(,(,(,-20.0,PUNCT,u--------,,punct,0.0,ἔπλασεν,(),False,(,False,True,False,False,,,,,,,,,,
γεν,γεν,γεν,γεν,γεν,γ,-20.0,X,x--------,,ROOT,0.0,γεν,(),False,xxx,True,False,False,False,,,,,,,,,,
.,.,.,.,.,.,-20.0,ADV,V-,,fixed,0.0,γεν,(),False,.,False,True,False,False,,,,,,,,,,
2,2,2,2,2,2,-20.0,NUM,Ma,,nmod,0.0,γεν,(),False,d,False,False,False,False,,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,7).,(),False,",",False,True,False,False,,,,,,,,,,
7).,7).,7).,7).,7).,7,-20.0,PUNCT,u--------,,punct,0.0,γεν,(),False,d).,False,False,False,False,,,,,,,,,,
