orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Aspect,PronType
τῆς,τῆς,τῆ,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,φύσεως,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
μακαρίας,μακαρίας,μακαρίας,μακαρίας,́ας,μ,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,φύσεως,"(εὐδαίμονος,)",False,xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,μακαρίας,(),False,xxx̀,False,False,False,False,,,,,,,,,,
εὐδαίμονος,εὐδαίμονος,εὐδαίμων,εὐδαίμονος,νος,ε,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,μακαρίας,"(μακαρίας,)",False,xx̓xxx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
φύσεως,φύσεως,φύσις,φύσεως,εως,φ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,οὐδὲν,(),False,xx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἐκείνης,ἐκείνης,ἐκείνης,ἐκείνης,νης,ε,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,φύσεως,(),False,x̓xxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἀποικίαν,ἀποικίαν,ἀποικία,ἀποικίαν,́αν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,στειλάμενον,(),False,x̓xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἀποικίαν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἐνθάδε,ἐνθάδε,ἐνθάδε,ἐνθάδε,́δε,ε,-20.0,ADV,d--------,,advmod,0.0,στειλάμενον,(),False,x̓xxx́xx,False,False,False,False,,,,,,,,,,
στειλάμενον,στειλάμενον,στειλάω,στειλάμενον,νον,σ,-20.0,VERB,v-sapmma-,Case=Acc|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid,xcomp,0.0,οὐδὲν,(),False,xxxx́xxxx,False,False,False,False,Acc,Masc,Sing,Past,Part,Mid,,,,
ἐπὶ᾽,ἐπὶ᾽,ἐπὶ᾽,ἐπὶ᾽,ὶ᾽,ε,-20.0,PUNCT,V-,,nmod,0.0,οὐδὲν,(),False,x̓xx̀᾽,False,False,False,False,,,,,,,,,,
ὠφελείᾳ,ὠφελείᾳ,ὠφελείᾳ,ὠφελείᾳ,́ᾳ,ω,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,nmod,0.0,οὐδὲν,(),False,x̓xxxx́xͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,γένους,(),False,xxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,,
