orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Degree,Gender,Number,PronType,Mood,Person,Tense,VerbForm,Voice
ἔσχατος,ἔσχατος,ἔσχατος,ἔσχατος,τος,ε,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ὑπερέχει,(),False,x̓́xxxx,False,False,False,False,Nom,,Masc,Sing,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,μέσου,(),False,xxx͂,False,False,False,False,Gen,,Masc,Sing,,,,,,
μέσου,μέσου,μέσος,μέσου,σου,μ,-20.0,ADJ,a-s---mg-,Case=Gen|Degree=Pos|Gender=Neut|Number=Sing,nmod,0.0,ἔσχατος,(),False,xx́xxx,False,False,False,False,Gen,Pos,Neut,Sing,,,,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,ὑπεροχὴν,(),False,xxx̀x,False,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ὑπεροχὴν,(),False,xx̀x,False,False,False,False,Acc,,Fem,Sing,,,,,,
ὑπεροχὴν,ὑπεροχὴν,ὑπεροχὴ,ὑπεροχὴν,ὴν,υ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ὑπερέχει,(),False,x̔xxxx̀x,False,False,False,False,Acc,,Fem,Sing,,,,,,
ᾗ,ᾗ,ᾗ,ᾗ,̔͂ͅ,η,-20.0,ADV,d--------,,cc,0.0,ὑπερέχεται,(),False,x̔͂ͅ,False,False,False,False,,,,,,,,,,
ὑπερέχεται,ὑπερέχεται,ὑπερέχομαι,ὑπερέχεται,ται,υ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,acl,0.0,ὑπεροχὴ,(),False,x̔xxxx́xxxx,False,False,False,False,,,,Sing,,Ind,3,Pres,Fin,Mid
ὑπὸ,ὑπὸ,ὑπὸ,ὑπὸ,πὸ,υ,-20.0,ADP,r--------,,case,0.0,μέσου,(),False,x̔xx̀,False,False,False,False,,,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,μέσου,(),False,xxx͂,False,False,False,False,Gen,,Masc,Sing,,,,,,
μέσου,μέσου,μέσος,μέσου,σου,μ,-20.0,ADJ,A-,Case=Gen|Degree=Pos|Gender=Neut|Number=Sing,obl,0.0,ὑπερέχεται,(),False,xx́xxx,False,False,False,False,Gen,Pos,Neut,Sing,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,πρῶτος,(),False,x̔,False,False,False,False,Nom,,Masc,Sing,,,,,,
πρῶτος,πρῶτος,πρῶτος,πρῶτος,τος,π,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ὑπερέχεται,(),False,xxx͂xxx,False,False,False,False,Nom,,Masc,Sing,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,μία,(),False,.,False,True,False,False,,,,,,,,,,
