orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect,Degree
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Gender=Masc|Number=Sing,det,0.0,κοσμοπολίτῃ,(),False,xx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
κοσμοπολίτῃ,κοσμοπολίτῃ,κοσμοπολίτῃ,κοσμοπολίτῃ,τῃ,κ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,iobj,0.0,χρῆσθαι,(),False,xxxx́xxͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
χρῆσθαι,χρῆσθαι,χρῆσθαι,χρῆσθαι,θαι,χ,-20.0,VERB,v--pne---,Tense=Pres|VerbForm=Inf|Voice=Mid,csubj,0.0,συνέβαινε,(),False,xxx͂xxxx,False,False,False,False,,,,,,Pres,Inf,Mid,,
πολιτείᾳ,πολιτείᾳ,πολιτείᾳ,πολιτείᾳ,́ᾳ,π,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obj,0.0,χρῆσθαι,(),False,xxxx́xͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
ᾗ,ᾗ,ᾗ,ᾗ,̔͂ͅ,η,-20.0,CCONJ,c--------,,dep,0.0,χρῆσθαι,(),False,x̔͂ͅ,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,dep,0.0,χρῆσθαι,(),False,xxx̀,False,False,False,False,,,,,,,,,,
σύμπας,σύμπας,σύμπας,σύμπας,πας,σ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,κόσμος,(),False,xx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,κόσμος,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
κόσμος,κόσμος,κόσμος,κόσμος,μος,κ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,χρῆσθαι,(),False,xx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,συνέβαινε,(),False,·,False,True,False,False,,,,,,,,,,
αὕτη,αὕτη,αὕτη,αὕτη,́τη,α,-20.0,PRON,p-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nmod,0.0,λόγος,(),False,xx̔́xx,False,False,False,False,Nom,Fem,Sing,,,,,,,
δέ,δέ,δέ,δέ,δέ,δ,-20.0,ADV,d--------,,advmod,0.0,λόγος,(),False,xx́,False,False,False,False,,,,,,,,,,
ἐστι,ἐστι,ἐστι,ἐστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,λόγος,(),False,x̓xxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,λόγος,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,φύσεως,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
φύσεως,φύσεως,φύσις,φύσεως,εως,φ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,λόγος,(),False,xx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
ὀρθὸς,ὀρθὸς,ὀρθὸς,ὀρθὸς,ὸς,ο,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,λόγος,(),False,x̓xxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,
λόγος,λόγος,λόγος,λόγος,γος,λ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,λόγος,(),False,xx́xxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,προσονομάζεται,(),False,",",False,True,False,False,,,,,,,,,,
ὃς,ὃς,οσ̔̀ς,ὃς,̔̀ς,ο,-20.0,PRON,p-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,προσονομάζεται,(),False,x̔̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,
κυριωτέρᾳ,κυριωτέρᾳ,κυριωτέρᾳ,κυριωτέρᾳ,ρᾳ,κ,-20.0,ADJ,a-s---fds,Case=Dat|Degree=Sup|Gender=Fem|Number=Sing,nmod,0.0,κλήσει,(),False,xxxx́xxͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,Sup
κλήσει,κλήσει,κλήσις,κλήσει,σει,κ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obj,0.0,προσονομάζεται,(),False,xxx́xxx,False,False,False,False,Dat,Fem,Sing,,,,,,,
προσονομάζεται,προσονομάζεται,προσονομάζω,προσονομάζεται,ται,π,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,acl,0.0,λόγος,(),False,xxxx́xxxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Mid,,
θεσμός,θεσμός,θεσμός,θεσμός,ός,θ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,xcomp,0.0,προσονομάζεται,(),False,xxxx́x,False,False,False,False,Nom,Masc,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,νόμος,(),False,",",False,True,False,False,,,,,,,,,,
νόμος,νόμος,νόμος,νόμος,μος,ν,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,appos,0.0,κλήσει,(),False,xx́xxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
θεῖος,θεῖος,θεῖος,θεῖος,͂ος,θ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,νόμος,(),False,xxx͂xx,False,False,False,False,Nom,Masc,Sing,,,,,,,
ὤν,ὤν,ὤν,ὤν,̓́ν,ω,-20.0,AUX,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,cop,0.0,νόμος,(),False,x̓́x,False,False,False,False,Nom,Masc,Sing,,,Pres,Part,Act,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀπενεμήθη,(),False,",",False,True,False,False,,,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,ὃν,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,r--------,,case,0.0,ὃν,(),False,’,False,True,False,False,,,,,,,,,,
ὃν,ὃν,ὃν,ὃν,̔̀ν,ο,-20.0,PRON,p-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obl,0.0,ἀπενεμήθη,(),False,x̔̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,προσήκοντα,(),False,xx̀,False,False,False,False,Acc,Neut,Plur,,,,,,,
προσήκοντα,προσήκοντα,προσήκω,προσήκοντα,ντα,π,-20.0,VERB,v-pppana-,Case=Acc|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,xcomp,0.0,ἀπενεμήθη,"(ἐπιβάλλοντα,)",False,xxxx́xxxx,False,False,False,False,Acc,Neut,Plur,,,Pres,Part,Act,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,προσήκοντα,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἐπιβάλλοντα,ἐπιβάλλοντα,ἐπιβάλλω,ἐπιβάλλοντα,ντα,ε,-20.0,VERB,v-pppana-,Case=Acc|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,conj,0.0,προσήκοντα,"(προσήκοντα,)",False,x̓xxxx́xxxx,False,False,False,False,Acc,Neut,Plur,,,Pres,Part,Act,,
ἑκάστοις,ἑκάστοις,ἑκάστων,ἑκάστοις,οις,ε,-20.0,ADJ,a-p---md-,Case=Dat|Gender=Masc|Number=Plur,iobj,0.0,ἀπενεμήθη,(),False,x̔xx́xxxx,False,False,False,False,Dat,Masc,Plur,,,,,,,
ἀπενεμήθη,ἀπενεμήθη,ἀπενεμήθη,ἀπενεμήθη,́θη,α,-20.0,VERB,v3saip---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Pass,advcl,0.0,προσονομάζεται,(),False,x̓xxxx́xx,False,False,False,False,,,Sing,Ind,3,Past,Fin,Pass,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,λόγος,(),False,.,False,True,False,False,,,,,,,,,,
