orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Aspect,Mood,Person,Tense,VerbForm,Voice
τινα,τινα,τις,τινα,ινα,τ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,συμπάθειαν,(),True,xxxx,True,False,False,False,Acc,Fem,Sing,,,,,,,
φυσικὴν,φυσικὴν,φυσικὴν,φυσικὴν,ὴν,φ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,συμπάθειαν,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
συμπάθειαν,συμπάθειαν,συμπάθεια,συμπάθειαν,ιαν,σ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἤρτηται,(),False,xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἤρτηται,(),False,",",False,True,False,False,,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,λόγος,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ἑβδομάδος,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἑβδομάδος,ἑβδομάδος,ἑβδομάδο,ἑβδομάδος,δος,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,λόγος,(),False,x̔xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
λόγος,λόγος,λόγος,λόγος,γος,λ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,κατέβη,(),False,xx́xxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
ἄνωθεν,ἄνωθεν,ἄνωθεν,ἄνωθεν,θεν,α,-20.0,ADV,d--------,,advmod,0.0,ἀρξάμενος,(),False,x̓́xxxx,False,False,False,False,,,,,,,,,,
ἀρξάμενος,ἀρξάμενος,ἀρξάμενος,ἀρξάμενος,νος,α,-20.0,VERB,v-sapmmn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid,advcl,0.0,κατέβη,(),False,x̓xxx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,Past,Part,Mid
κατέβη,κατέβη,κατέβη,κατέβη,́βη,κ,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,κατέβη,"(ἐπιφοιτήσας,)",False,xxxx́xx,False,False,False,False,,,Sing,,,Ind,3,Past,Fin,Act
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,κατέβη,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,ἡμᾶς,(),False,xxx̀x,False,False,False,False,,,,,,,,,,
ἡμᾶς,ἡμᾶς,ἡμᾶς,ἡμᾶς,ᾶς,η,-20.0,PRON,p1p---ma-,Case=Acc|Gender=Masc|Number=Plur|Person=1,obl,0.0,ἐπιφοιτήσας,(),False,x̔xx͂x,False,False,False,False,Acc,Masc,Plur,,,,1,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---md-,Case=Dat|Gender=Masc|Number=Plur,det,0.0,γένεσιν,(),False,xxx͂x,False,False,False,False,Dat,Masc,Plur,,,,,,,
θνητοῖς,θνητοῖς,θνητοῖς,θνητοῖς,ῖς,θ,-20.0,ADJ,A-,Case=Dat|Gender=Neut|Number=Plur,nmod,0.0,γένεσιν,(),False,xxxx͂x,False,False,False,False,Dat,Neut,Plur,,,,,,,
γένεσιν,γένεσιν,γένος,γένεσιν,σιν,γ,-20.0,NOUN,n-p---nd-,Case=Dat|Gender=Neut|Number=Plur,obl,0.0,ἐπιφοιτήσας,(),False,xx́xxxx,False,False,False,False,Dat,Neut,Plur,,,,,,,
ἐπιφοιτήσας,ἐπιφοιτήσας,ἐπιφοιτήσας,ἐπιφοιτήσας,σας,ε,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,conj,0.0,κατέβη,"(κατέβη,)",False,x̓xxxx́xxx,False,False,False,False,Nom,Masc,Sing,,,,,Past,Part,Act
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,κατέβη,(),False,.,False,True,False,False,,,,,,,,,,
