orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Tense,VerbForm,Voice,Degree,Mood,Person
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἑπταετίαν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
πρώτην,πρώτην,πρώτην,πρώτην,την,π,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ἑπταετίαν,(),False,xxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἑπταετίαν,ἑπταετίαν,ἑπταετία,ἑπταετίαν,́αν,ε,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ἔκφυσις,(),False,x̔xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἔκφυσις,ἔκφυσις,ἔκφυσις,ἔκφυσις,σις,ε,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,ἔκφυσις,(),False,x̓́xxxx,False,False,False,False,Nom,Fem,Sing,,,,,,,
ὀδόντων,ὀδόντων,ὀδόντων,ὀδόντων,των,ο,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἔκφυσις,(),False,x̓xx́xxxx,False,False,False,False,Gen,Masc,Plur,,,,,,,
ἐστί,ἐστί,ἐστί,ἐστί,τί,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,ἔκφυσις,(),False,x̓xxx́,False,False,False,False,,,Sing,,Pres,Fin,Act,,Ind,3
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἔκφυσις,(),False,·,False,True,False,False,,,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,δευτέραν,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,καιρὸς,(),False,xx̀,False,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,δευτέραν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
δευτέραν,δευτέραν,δευτέραν,δευτέραν,ραν,δ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,καιρὸς,(),False,xxxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
καιρὸς,καιρὸς,καιρὸς,καιρὸς,ὸς,κ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,καιρὸς,(),False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,
τοὐ,τοὐ,τοὐ,τοὐ,οὐ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,δύνασθαι,(),False,xxx̓,False,False,False,False,Gen,Neut,Sing,,,,,,,
δύνασθαι,δύνασθαι,δύναμαι,δύνασθαι,θαι,δ,-20.0,VERB,v--pne---,Tense=Pres|VerbForm=Inf|Voice=Mid,ccomp,0.0,καιρὸς,(),False,xx́xxxx,False,False,False,False,,,,,Pres,Inf,Mid,,,
προΐεσθαι,προΐεσθαι,προϊγ́ομαι,προΐεσθαι,θαι,π,-20.0,VERB,v--pne---,Tense=Pres|VerbForm=Inf|Voice=Mid,xcomp,0.0,δύνασθαι,(),False,xxxẍ́xxxx,False,False,False,False,,,,,Pres,Inf,Mid,,,
σπέρμα,σπέρμα,σπέρμα,σπέρμα,ρμα,σ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,προΐεσθαι,(),False,xxx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
