orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Degree,Mood,Person
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,ἀταλαίπωρον,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἄσκεπτον,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,ά,',’,’,-20.0,CCONJ,c--------,,dep,0.0,ἄσκεπτον,(),False,’,False,True,False,False,,,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,advmod,0.0,κατεψευσμένον,(),False,x̔x,False,False,False,False,,,,,,,,,,
κατεψευσμένον,κατεψευσμένον,κατεψευσμένον,κατεψευσμένον,νον,κ,-20.0,VERB,v-srpena-,Aspect=Perf|Case=Acc|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid,conj,0.0,ἄσκεπτον,"(ἄσκεπτον, ἀταλαίπωρον, ἀφιλόσοφον, μεστὸν)",False,xxxx́xxx,False,False,False,False,Acc,Neut,Sing,Past,Part,Mid,Perf,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,κατεψευσμένον,(),False,xxx̀,False,False,False,False,,,,,,,,,,
μεστὸν,μεστὸν,μεστὸς,μεστὸν,ὸν,μ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,κατεψευσμένον,"(ἄσκεπτον, ἀταλαίπωρον, ἀφιλόσοφον, κατεψευσμένον)",False,xxxx̀x,False,False,False,False,Acc,Neut,Sing,,,,,,,
γοητείας,γοητείας,γοητεία,γοητείας,́ας,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,μεστὸν,(),False,xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἄσκεπτον,(),False,",",False,True,False,False,,,,,,,,,,
παγκάλην,παγκάλην,παγκάλην,παγκάλην,λην,π,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,amod,0.0,ἀρχὴν,"(σεμνοτάτην,)",False,xxxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,παγκάλην,(),False,xxx̀,False,False,False,False,,,,,,,,,,
σεμνοτάτην,σεμνοτάτην,σεμνοτάτην,σεμνοτάτην,την,σ,-20.0,ADJ,a-s---fas,Case=Acc|Degree=Sup|Gender=Fem|Number=Sing,conj,0.0,παγκάλην,"(παγκάλην,)",False,xxxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,Sup,,
ἀρχὴν,ἀρχὴν,ἀρχὴν,ἀρχὴν,ὴν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐποιήσατο,(),False,x̓xxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἐποιήσατο,ἐποιήσατο,ἐποιήσατο,ἐποιήσατο,ατο,ε,-20.0,VERB,v3saim---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,ROOT,0.0,ἐποιήσατο,(),False,x̓xxxx́xxxx,False,False,False,False,,,Sing,Past,Fin,Mid,,,Ind,3
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,νόμων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
νόμων,νόμων,νόμος,νόμων,μων,ν,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἀρχὴν,(),False,xx́xxx,False,False,False,False,Gen,Masc,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,μήτε᾽,(),False,",",False,True,False,False,,,,,,,,,,
μήτε᾽,μήτε᾽,μήτε᾽,μήτε᾽,τε᾽,μ,-20.0,PUNCT,V-,,dep,0.0,ἐποιήσατο,(),False,xx́xx᾽,False,False,False,False,,,,,,,,,,
εὐθὺς,εὐθὺς,εὐθὺς,εὐθὺς,ὺς,ε,-20.0,ADV,d--------,,advmod,0.0,μήτε᾽,(),False,xx̓xx̀x,False,False,False,False,,,,,,,,,,
ἃ,ἃ,ἃ,ἃ,ἃ,α,-20.0,PRON,p-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,χρὴ,(),False,x̔̀,False,False,False,False,Acc,Neut,Plur,,,,,,,
χρὴ,χρὴ,χρὴ,χρὴ,ρὴ,χ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,xcomp,0.0,μήτε᾽,"(ὑπειπὼν,)",False,xxx̀,False,False,False,False,,,Sing,Pres,Fin,Act,,,Ind,3
πράττειν,πράττειν,πράσσω,πράττειν,ειν,π,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,csubj,0.0,χρὴ,(),False,xxx́xxxx,False,False,False,False,,,,Pres,Inf,Act,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,χρὴ,(),False,x̓̀,False,False,False,False,,,,,,,,,,
τοὐναντίον,τοὐναντίον,τοὐναντίον,τοὐναντίον,́ον,τ,-20.0,ADJ,d--------,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,ὑπειπὼν,(),False,xxx̓xxxx́xx,False,False,False,False,Acc,Neut,Sing,,,,,,,
