orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Degree
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,φαυλοτάτου,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,
φαυλοτάτου,φαυλοτάτου,φαυλοτάτου,φαυλοτάτου,του,φ,-20.0,ADJ,a-s---mgs,Case=Gen|Degree=Sup|Gender=Masc|Number=Sing,obl,0.0,ἄρχεσθαι,(),False,xxxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,Sup
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,φύσιν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
φύσιν,φύσιν,φύσις,φύσιν,σιν,φ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἄρχεσθαι,(),False,xx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,λήγειν,(),False,",",False,True,False,False,,,,,,,,,
λήγειν,λήγειν,λήγω,λήγειν,ειν,λ,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,conj,0.0,ἄρχεσθαι,"(ἄρχεσθαι,)",False,xx́xxxx,False,False,False,False,,,,Pres,Inf,Act,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,PART,g--------,,cc,0.0,ἄρχεσθαι,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,λήγειν,(),False,’,False,True,False,False,,,,,,,,,
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,ἄριστον,(),False,xx̓x,False,False,False,False,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,ἄριστον,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,
πάντων,πάντων,πάντων,πάντων,των,π,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἄριστον,(),False,xx́xxxx,False,False,False,False,Gen,Masc,Plur,,,,,,
ἄριστον,ἄριστον,ἄριστον,ἄριστον,τον,α,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,λήγειν,(),False,x̓́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἄρχεσθαι,(),False,·,False,True,False,False,,,,,,,,,
τί,τί,τίς,τί,τί,τ,-20.0,PRON,p-s---nn-,Case=Nom|Gender=Neut|Number=Sing,xcomp,0.0,τοῦτο᾽,(),False,xx́,False,False,False,False,Nom,Neut,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,τοῦτο᾽,(),False,xx̀,False,False,False,False,,,,,,,,,
τοῦτο᾽,τοῦτο᾽,τοῦτο᾽,τοῦτο᾽,το᾽,τ,-20.0,PUNCT,V-,,obj,0.0,δηλωτέον,(),False,xxx͂xx᾽,False,False,False,False,,,,,,,,,
ἔστι,ἔστι,ἔστι,ἔστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,dep,0.0,δηλωτέον,(),False,x̓́xxx,False,False,False,False,,,Sing,Pres,Fin,Act,Ind,3,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔστι,(),False,",",False,True,False,False,,,,,,,,,
δηλωτέον,δηλωτέον,δηλωτέον,δηλωτέον,́ον,δ,-20.0,VERB,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing|VerbForm=Gdv,ROOT,0.0,δηλωτέον,(),False,xxxx́xx,False,False,False,False,Nom,Neut,Sing,,Gdv,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,δηλωτέον,(),False,.,False,True,False,False,,,,,,,,,
