orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Aspect,Degree
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἡμερώθη,(),False,xxx̀,False,False,False,False,,,,,,,,,,
θεασάμενα,θεασάμενα,θεασάμενα,θεασάμενα,ενα,θ,-20.0,VERB,v-papmmn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid,advcl,0.0,ἡμερώθη,(),False,xxxx́xxxx,False,False,False,False,,Sing,,Past,Part,Mid,Nom,Masc,,
πάντα,πάντα,πάς,πάντα,ντα,π,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,obj,0.0,θεασάμενα,(),False,xx́xxx,False,False,False,False,,Plur,,,,,Nom,Neut,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,πάντων,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πάντων,πάντων,πάντων,πάντων,των,π,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,obl,0.0,ἡμερώθη,(),False,xx́xxxx,False,False,False,False,,Plur,,,,,Gen,Masc,,
ἡμερώθη,ἡμερώθη,ἡμερώθη,ἡμερώθη,́θη,η,-20.0,VERB,v3saip---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Pass,ROOT,0.0,ἡμερώθη,"(ἐγίνετο,)",False,x̔xxxx́xx,False,False,False,False,Ind,Sing,3,Past,Fin,Pass,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἡμερώθη,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ὅσα,ὅσα,ὅσος,ὅσα,́σα,ο,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nmod,0.0,ἀγριώτατα,(),False,x̔́xx,False,False,False,False,,Plur,,,,,Nom,Neut,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,φύσεις,(),False,xx̀x,False,False,False,False,,Plur,,,,,Acc,Fem,,
φύσεις,φύσεις,φύσις,φύσεις,εις,φ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,ἀγριώτατα,(),False,xx́xxxx,False,False,False,False,,Plur,,,,,Acc,Fem,,
ἀγριώτατα,ἀγριώτατα,ἀγριώτατα,ἀγριώτατα,ατα,α,-20.0,ADJ,a-p---nns,Case=Nom|Degree=Sup|Gender=Neut|Number=Plur,nsubj,0.0,ἐγίνετο,(),False,x̓xxxx́xxxx,False,False,False,False,,Plur,,,,,Nom,Neut,,Sup
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,ἐγίνετο,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἐγίνετο,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Fem,,
πρώτην,πρώτην,πρώτην,πρώτην,την,π,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ἐγίνετο,(),False,xxx́xxx,False,False,False,False,,Sing,,,,,Acc,Fem,,
εὐθὺς,εὐθὺς,εὐθὺς,εὐθὺς,ὺς,ε,-20.0,ADV,d--------,,advmod,0.0,ἐγίνετο,(),False,xx̓xx̀x,False,False,False,False,,,,,,,,,,
πρόσοψιν,πρόσοψιν,πρόσοψις,πρόσοψιν,ψιν,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἐγίνετο,(),False,xxx́xxxx,False,False,False,False,,Sing,,,,,Acc,Fem,,
ἐγίνετο,ἐγίνετο,ἐγίνετο,ἐγίνετο,ετο,ε,-20.0,VERB,v3siie---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,conj,0.0,ἡμερώθη,"(ἡμερώθη,)",False,x̓xx́xxxx,False,False,False,False,Ind,Sing,3,Past,Fin,Mid,,,Imp,
χειροηθέστατα,χειροηθέστατα,χειροηθέστατα,χειροηθέστατα,ατα,χ,-20.0,ADJ,a-p---nns,Case=Nom|Degree=Sup|Gender=Neut|Number=Plur,xcomp,0.0,ἐγίνετο,(),False,xxxx́xxxx,False,False,False,False,,Plur,,,,,Nom,Neut,,Sup
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐπιδεικνύμενα,(),False,",",False,True,False,False,,,,,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,λύττας,(),False,xx̀x,False,False,False,False,,Plur,,,,,Acc,Fem,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἐπιδεικνύμενα,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ἀτιθάσους,ἀτιθάσους,ἀτιθάσους,ἀτιθάσους,ους,α,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,λύττας,(),False,x̓xxxx́xxxx,False,False,False,False,,Plur,,,,,Acc,Fem,,
λύττας,λύττας,λύττη,λύττας,τας,λ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἐπιδεικνύμενα,(),False,xx́xxxx,False,False,False,False,,Plur,,,,,Acc,Fem,,
ἐπιδεικνύμενα,ἐπιδεικνύμενα,ἐπιδεικνύμενα,ἐπιδεικνύμενα,ενα,ε,-20.0,VERB,v-pppenn-,Case=Nom|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,ἐγίνετο,"(τιθασευόμενα,)",False,x̓xxxx́xxxx,False,False,False,False,,Plur,,Pres,Part,Mid,Nom,Neut,,
κατά,κατά,κατά,κατά,τά,κ,-20.0,ADP,r--------,,case,0.0,ἀλλήλων,(),False,xxxx́,False,False,False,False,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,r--------,,case,0.0,ἀλλήλων,(),False,’,False,True,False,False,,,,,,,,,,
ἀλλήλων,ἀλλήλων,ἀλλήλων,ἀλλήλων,λων,α,-20.0,PRON,p-p---mg-,Case=Gen|Gender=Masc|Number=Plur,obl,0.0,ἐπιδεικνύμενα,(),False,x̓xxx́xxx,False,False,False,False,,Plur,,,,,Gen,Masc,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,εἰς,(),False,",",False,True,False,False,,,,,,,,,,
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,ἀλλήλων,(),False,xx̓x,False,False,False,False,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἐπιδεικνύμενα,(),False,xx̀,False,False,False,False,,,,,,,,,,
μόνον,μόνον,μόνος,μόνον,νον,μ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,ἄνθρωπον,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Acc,Masc,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἄνθρωπον,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Masc,,
ἄνθρωπον,ἄνθρωπον,ἄνθρωπος,ἄνθρωπον,πον,α,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obl,0.0,τιθασευόμενα,(),False,x̓́xxxx,False,False,False,False,,Sing,,,,,Acc,Masc,,
τιθασευόμενα,τιθασευόμενα,τιθασευόμενα,τιθασευόμενα,ενα,τ,-20.0,VERB,v-pppenn-,Case=Nom|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass,conj,0.0,ἐπιδεικνύμενα,"(ἐπιδεικνύμενα,)",False,xxxx́xxxx,False,False,False,False,,Plur,,Pres,Part,Pass,Nom,Neut,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἡμερώθη,(),False,.,False,True,False,False,,,,,,,,,,
