orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Mood,Person,Tense,VerbForm,Voice,Aspect
τρίτου,τρίτου,τρίτος,τρίτου,του,τ,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,conj,0.0,ἡμίσους,"(ἡμίσους, δυάδος, ἕκτου, μονάδος)",False,xxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἡμίσους,(),False,xx̀,False,False,False,False,,,,,,,,,,
δυάδος,δυάδος,δυάς,δυάδος,δος,δ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,ἡμίσους,"(ἡμίσους, τρίτου, ἕκτου, μονάδος)",False,xxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἕκτου,(),False,",",False,True,False,False,,,,,,,,,,
ἕκτου,ἕκτου,ἕκτος,ἕκτου,του,ε,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,conj,0.0,ἡμίσους,"(ἡμίσους, τρίτου, δυάδος, μονάδος)",False,x̔́xxxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
δὲ,δὲ,οὔδὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,cc,0.0,ἡμίσους,(),False,xx̀,False,False,False,False,,,,,,,,,,
μονάδος,μονάδος,μονάς,μονάδος,δος,μ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,ἡμίσους,"(ἡμίσους, τρίτου, δυάδος, ἕκτου)",False,xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,καὶ,(),False,",",False,True,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,d--------,,cc,0.0,τέλειός,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,SCONJ,c--------,,mark,0.0,ἔπος,(),False,x̔x,False,False,False,False,,,,,,,,,,
ἔπος,ἔπος,ἔπος,ἔπος,πος,ε,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,εἰπεῖν,(),False,x̓́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
εἰπεῖν,εἰπεῖν,εἰπεῖν,εἰπεῖν,ῖν,ε,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,advcl,0.0,πέφυκε,(),False,xx̓xxx͂x,False,False,False,False,,,,,,,Past,Inf,Act,
ἄρρην,ἄρρην,ἄρρην,ἄρρην,ρην,α,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,πέφυκε,"(θῆλυς,)",False,x̓́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,ἄρρην,(),True,xx,True,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἄρρην,(),False,xxx̀,False,False,False,False,,,,,,,,,,
θῆλυς,θῆλυς,θῆλυς,θῆλυς,λυς,θ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,ἄρρην,"(ἄρρην,)",False,xx͂xxx,False,False,False,False,Nom,Masc,Sing,,,,,,,
εἶναι,εἶναι,εἶναι,εἶναι,ναι,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,dep,0.0,ἄρρην,(),False,xx̓͂xxx,False,False,False,False,,,,,,,Pres,Inf,Act,
πέφυκε,πέφυκε,πέφυκα,πέφυκε,υκε,π,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,conj,0.0,τέλειός,"(τέλειός, ἥρμοσται)",False,xx́xxxx,False,False,False,False,,,Sing,,Ind,3,Past,Fin,Act,Perf
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,πέφυκε,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,δυνάμεως,(),False,x̓x,False,False,False,False,,,,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,δυνάμεως,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἑκατέρου,ἑκατέρου,ἑκατέρου,ἑκατέρου,ρου,ε,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,δυνάμεως,(),False,x̔xxxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
δυνάμεως,δυνάμεως,δυνάμεως,δυνάμεως,εως,δ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,ἥρμοσται,(),False,xxxx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἥρμοσται,ἥρμοσται,ἥρμοσται,ἥρμοσται,ται,η,-20.0,VERB,v3srie---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,conj,0.0,πέφυκε,"(τέλειός, πέφυκε)",False,x̔́xxxx,False,False,False,False,,,Sing,,Ind,3,Past,Fin,Mid,Perf
ἄρρεν,ἄρρεν,ἄρρην,ἄρρεν,ρεν,α,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,ROOT,0.0,ἄρρεν,"(θῆλυ,)",False,x̓́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἄρρεν,(),False,xx̀x,False,False,False,False,,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ἄρρεν,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,οὖσι,(),False,x̓x,False,False,False,False,,,,,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---md-,Case=Dat|Gender=Masc|Number=Plur,det,0.0,οὖσι,(),False,xxx͂x,False,False,False,False,Dat,Masc,Plur,,,,,,,
οὖσι,οὖσι,οὖσι,οὖσι,͂σι,ο,-20.0,AUX,v-pppand-,Case=Dat|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,ἄρρεν,(),False,xx̓͂xx,False,False,False,False,Dat,Masc,Plur,,,,Pres,Part,Act,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,περιττόν,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,,
περιττόν,περιττόν,περιττός,περιττόν,όν,π,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,ἄρρεν,(),False,xxxx́x,False,False,False,False,Nom,Neut,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τὸ,(),False,",",False,True,False,False,,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,περιττόν,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἄρρεν,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,θῆλυ,(),False,’,False,True,False,False,,,,,,,,,,
ἄρτιον,ἄρτιον,ἄρτιος,ἄρτιον,ιον,α,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,θῆλυ,(),False,x̓́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,,
θῆλυ,θῆλυ,θῆλυς,θῆλυ,͂λυ,θ,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,conj,0.0,ἄρρεν,"(ἄρρεν,)",False,xx͂xx,False,False,False,False,Nom,Neut,Sing,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἄρρεν,(),False,·,False,True,False,False,,,,,,,,,,
περιττῶν,περιττῶν,περιττῶν,περιττῶν,ῶν,π,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἀμφοῖν,(),False,xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἀρχὴ,(),False,xx̀x,False,False,False,False,,,,,,,,,,
οὖν,οὖν,οὖν,οὖν,̓͂ν,ο,-20.0,ADV,d--------,,advmod,0.0,ἀρχὴ,(),False,xx̓͂x,False,False,False,False,,,,,,,,,,
ἀριθμῶν,ἀριθμῶν,ἀριθμῶν,ἀριθμῶν,ῶν,α,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,dep,0.0,ἀρχὴ,(),False,x̓xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
ἀρχὴ,ἀρχὴ,ἀρχὴ,ἀρχὴ,χὴ,α,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,ἀρχὴ,"(δύναμις,)",False,x̓xxx̀,False,False,False,False,Nom,Fem,Sing,,,,,,,
τριάς,τριάς,τριάς,τριάς,άς,τ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,ἀρχὴ,"(δυὰς, ἀρτίων)",False,xxxx́x,False,False,False,False,Nom,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δυὰς,(),False,",",False,True,False,False,,,,,,,,,,
δυὰς,δυὰς,δυὰς,δυὰς,ὰς,δ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,τριάς,"(τριάς, ἀρτίων)",False,xxx̀x,False,False,False,False,Nom,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,τριάς,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,τριάς,(),False,’,False,True,False,False,,,,,,,,,,
ἀρτίων,ἀρτίων,ἀρτίος,ἀρτίων,́ων,α,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,conj,0.0,τριάς,"(τριάς, δυὰς)",False,x̓xxx́xx,False,False,False,False,Gen,Masc,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἡ,(),False,",",False,True,False,False,,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,δύναμις,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,dep,0.0,ἀρχὴ,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,ά,',’,’,-20.0,CCONJ,c--------,,dep,0.0,ἀρχὴ,(),False,’,False,True,False,False,,,,,,,,,,
ἀμφοῖν,ἀμφοῖν,ἀμφοῖν,ἀμφοῖν,ῖν,α,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,δύναμις,(),False,x̓xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
δύναμις,δύναμις,δύναμις,δύναμις,μις,δ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,ἀρχὴ,"(ἀρχὴ,)",False,xx́xxxx,False,False,False,False,Nom,Fem,Sing,,,,,,,
ἑξάς,ἑξάς,ἑξάς,ἑξάς,άς,ε,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,xcomp,0.0,δύναμις,(),False,x̔xx́x,False,False,False,False,Nom,Fem,Sing,,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἀρχὴ,(),False,.,False,True,False,False,,,,,,,,,,
