orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Person,PronType,Degree,Aspect,Tense,VerbForm,Voice,Mood
ἑκάτερον,ἑκάτερον,ἑκάτερος,ἑκάτερον,ρον,ε,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,ἄριστος,(),False,x̔xx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,,
ἄριστος,ἄριστος,ἄριστος,ἄριστος,τος,α,-20.0,ADJ,a-s---mns,Case=Nom|Degree=Sup|Gender=Masc|Number=Sing,ccomp,0.0,δοκεῖ,(),False,x̓́xxxx,False,False,False,False,Nom,Masc,Sing,,,Sup,,,,,
ψυχήν,ψυχήν,ψυχή,ψυχήν,ήν,ψ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,γεγενῆσθαί,"(σῶμα,)",False,xxxx́x,False,False,False,False,Acc,Fem,Sing,,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,ψυχήν,(),True,xx,True,False,False,False,,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ψυχήν,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
σῶμα,σῶμα,σῶμα,σῶμα,͂μα,σ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,ψυχήν,"(ψυχήν,)",False,xx͂xx,False,False,False,False,Acc,Neut,Sing,,,,,,,,
γεγενῆσθαί,γεγενῆσθαί,γεγενῆσθαί,γεγενῆσθαί,αί,γ,-20.0,VERB,V-,Aspect=Perf|Tense=Past|VerbForm=Inf|Voice=Mid,ccomp,0.0,δοκεῖ,(),False,xxxx͂xxxx́,False,False,False,False,,,,,,,Perf,Past,Inf,Mid,
μοι,μοι,ἐγώ,μοι,μοι,μ,-20.0,PRON,p-s---md-,Case=Dat|Gender=Masc|Number=Sing,iobj,0.0,γεγενῆσθαί,(),True,xxx,True,False,False,False,Dat,Masc,Sing,,,,,,,,
δοκεῖ,δοκεῖ,δοκεῖ,δοκεῖ,εῖ,δ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,δοκεῖ,"(διενεγκεῖν,)",False,xxxx͂,False,False,False,False,,,Sing,3,,,,Pres,Fin,Act,Ind
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,dep,0.0,δοκεῖ,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
μακρῷ,μακρῷ,μακρῷ,μακρῷ,ῷ,μ,-20.0,ADJ,a-s---nd-,Case=Dat|Gender=Neut|Number=Sing,advmod,0.0,διενεγκεῖν,(),False,xxxx͂ͅ,False,False,False,False,Dat,Neut,Sing,,,,,,,,
τινι,τινι,τις,τινι,ινι,τ,-20.0,PRON,p-s---md-,Case=Dat|Gender=Masc|Number=Sing,nmod,0.0,μακρῷ,(),True,xxxx,True,False,False,False,Dat,Masc,Sing,,,,,,,,
τοὺς,τοὺς,τοὺς,τοὺς,ὺς,τ,-20.0,DET,l-p---ma-,Case=Acc|Gender=Masc|Number=Plur,det,0.0,διενεγκεῖν,(),False,xxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,,,,
ἔπειτα,ἔπειτα,ἔπειτα,ἔπειτα,ιτα,ε,-20.0,ADV,d--------,,advmod,0.0,διενεγκεῖν,(),False,x̓́xxxx,False,False,False,False,,,,,,,,,,,
διενεγκεῖν,διενεγκεῖν,διενεγκεῖν,διενεγκεῖν,ῖν,δ,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,conj,0.0,δοκεῖ,"(δοκεῖ,)",False,xxxx͂x,False,False,False,False,,,,,,,,Past,Inf,Act,
