orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Tense,VerbForm,Voice,Mood,Person
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,κοσμοποιίας,(),False,xxx̀,False,False,False,False,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,κοσμοποιίας,(),False,xx̀,False,False,False,False,Acc,Neut,Plur,,,,,,
τῆς,τῆς,τῆ,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,κοσμοποιίας,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
ἀναγραφείσης,ἀναγραφείσης,ἀναγραφείσης,ἀναγραφείσης,σης,α,-20.0,VERB,V-,Case=Gen|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,nmod,0.0,κοσμοποιίας,(),False,x̓xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,Pres,Part,Mid,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,νόμοις,(),False,x̓x,False,False,False,False,,,,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---md-,Case=Dat|Gender=Masc|Number=Plur,det,0.0,νόμοις,(),False,xxx͂x,False,False,False,False,Dat,Masc,Plur,,,,,,
νόμοις,νόμοις,νόμος,νόμοις,οις,ν,-20.0,NOUN,n-p---md-,Case=Dat|Gender=Masc|Number=Plur,nmod,0.0,κοσμοποιίας,(),False,xx́xxxx,False,False,False,False,Dat,Masc,Plur,,,,,,
κοσμοποιίας,κοσμοποιίας,κοσμοποιία,κοσμοποιίας,́ας,κ,-20.0,NOUN,Nb,Case=Gen|Gender=Fem|Number=Sing,obj,0.0,παραδηλωθήσεται,(),False,xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,
ὑπερβάλλοντα,ὑπερβάλλοντα,ὑπερβάλλω,ὑπερβάλλοντα,ντα,υ,-20.0,VERB,V-,Case=Acc|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,παραδηλωθήσεται,"(μαρμαρυγαῖς,)",False,x̔xxxx́xxxx,False,False,False,False,Acc,Neut,Plur,,Pres,Part,Act,,
κάλλη,κάλλη,κάλλος,κάλλη,λλη,κ,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,ὑπερβάλλοντα,(),False,xx́xxx,False,False,False,False,Acc,Neut,Plur,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ὑπερβάλλοντα,(),False,xxx̀,False,False,False,False,,,,,,,,,
ταῖς,ταῖς,ταῖς,ταῖς,ῖς,τ,-20.0,DET,l-p---fd-,Case=Dat|Gender=Fem|Number=Plur,det,0.0,μαρμαρυγαῖς,(),False,xxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,,
μαρμαρυγαῖς,μαρμαρυγαῖς,μαρμαρυγαῖς,μαρμαρυγαῖς,ῖς,μ,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,conj,0.0,ὑπερβάλλοντα,"(ὑπερβάλλοντα,)",False,xxxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,ψυχὰς,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ἐντυγχανόντων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,
ἐντυγχανόντων,ἐντυγχανόντων,ἐντυγχανόντων,ἐντυγχανόντων,των,ε,-20.0,VERB,v-pppamg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,nmod,0.0,ψυχὰς,(),False,x̓xxxx́xxxx,False,False,False,False,Gen,Masc,Plur,,Pres,Part,Act,,
ψυχὰς,ψυχὰς,ψυχὰς,ψυχὰς,ὰς,ψ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἐπισκιάζοντα,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,
ἐπισκιάζοντα,ἐπισκιάζοντα,ἐπισκιάζω,ἐπισκιάζοντα,ντα,ε,-20.0,VERB,v-pppana-,Case=Acc|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,xcomp,0.0,ὑπερβάλλοντα,(),False,x̓xxxx́xxxx,False,False,False,False,Acc,Neut,Plur,,Pres,Part,Act,,
βραχυτέροις,βραχυτέροις,βραχυτέροις,βραχυτέροις,οις,β,-20.0,ADJ,a-p---mdc,Case=Dat|Degree=Cmp|Gender=Masc|Number=Plur,amod,0.0,χαρακτῆρσιν,(),False,xxxx́xxxx,False,False,False,False,Dat,Masc,Plur,Cmp,,,,,
παραδηλωθήσεται,παραδηλωθήσεται,παραδηλωθήσεται,παραδηλωθήσεται,ται,π,-20.0,VERB,v3sfip---,Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Pass,ROOT,0.0,παραδηλωθήσεται,(),False,xxxx́xxxx,False,False,False,False,,,Sing,,Fut,Fin,Pass,Ind,3
χαρακτῆρσιν,χαρακτῆρσιν,χαρακτῆρσιν,χαρακτῆρσιν,σιν,χ,-20.0,NOUN,n-p---md-,Case=Dat|Gender=Masc|Number=Plur,obl,0.0,παραδηλωθήσεται,(),False,xxxx͂xxxx,False,False,False,False,Dat,Masc,Plur,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐπειδὰν,(),False,",",False,True,False,False,,,,,,,,,
ἐπειδὰν,ἐπειδὰν,ἐπειδὰν,ἐπειδὰν,ὰν,ε,-20.0,SCONJ,G-,,mark,0.0,μηνυθῇ,(),False,x̓xxxx̀x,False,False,False,False,,,,,,,,,
ἐκεῖνο,ἐκεῖνο,ἐκεῖνος,ἐκεῖνο,͂νο,ε,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,μηνυθῇ,(),False,x̓xxx͂xx,False,False,False,False,Nom,Neut,Sing,,,,,,
μηνυθῇ,μηνυθῇ,μηνυθῇ,μηνυθῇ,ῇ,μ,-20.0,VERB,v3sasp---,Mood=Sub|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Pass,advcl,0.0,παραδηλωθήσεται,(),False,xxxx͂ͅ,False,False,False,False,,,Sing,,Past,Fin,Pass,Sub,3
πρότερον,πρότερον,πρότερος,πρότερον,ρον,π,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,μηνυθῇ,(),False,xxx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἄξιον,(),False,",",False,True,False,False,,,,,,,,,
ὅπερ,ὅπερ,οσ̔́περ,ὅπερ,περ,ο,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,ἄξιον,(),False,x̔́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,ἄξιον,(),False,xx̓,False,False,False,False,,,,,,,,,
ἄξιον,ἄξιον,ἄξιος,ἄξιον,ιον,α,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,dep,0.0,μηνυθῇ,(),False,x̓́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,
ἀποσιωπῆσαι,ἀποσιωπῆσαι,ἀποσιωπῆζω,ἀποσιωπῆσαι,σαι,α,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,xcomp,0.0,ἄξιον,(),False,x̓xxxx͂xxx,False,False,False,False,,,,,Past,Inf,Act,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,παραδηλωθήσεται,(),False,.,False,True,False,False,,,,,,,,,
