orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Degree,Mood,Person,Aspect
ἰσημερίας,ἰσημερίας,ἰσημερίη,ἰσημερίας,́ας,ι,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἀποτελῶν,(),False,x̓xxxx́xx,False,False,False,False,Acc,Fem,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔαρι,(),False,",",False,True,False,False,,,,,,,,,,
ἔαρι,ἔαρι,ἔαρ,ἔαρι,αρι,ε,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,obl,0.0,ἀποτελῶν,"(μετοπώρῳ, παρέχεται)",False,x̓́xxx,False,False,False,False,Dat,Neut,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἔαρι,(),False,xxx̀,False,False,False,False,,,,,,,,,,
μετοπώρῳ,μετοπώρῳ,μετοπώρῳ,μετοπώρῳ,ρῳ,μ,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,conj,0.0,ἔαρι,"(ἔαρι, παρέχεται)",False,xxxx́xxͅ,False,False,False,False,Dat,Neut,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐαρινὴν,(),False,",",False,True,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἐαρινὴν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,τὴν,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ἐαρινὴν,ἐαρινὴν,ἐαρινὴν,ἐαρινὴν,ὴν,ε,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,amod,0.0,ἔαρι,(),False,x̓xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,κριῷ,(),False,x̓x,False,False,False,False,,,,,,,,,,
κριῷ,κριῷ,κριῷ,κριῷ,ῷ,κ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,nmod,0.0,ἐαρινὴν,(),False,xxxx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τὴν,(),False,",",False,True,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,μετοπώρῳ,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἔαρι,(),False,xx̀,False,False,False,False,,,,,,,,,,
μετοπωρινὴν,μετοπωρινὴν,μετοπωρινὴν,μετοπωρινὴν,ὴν,μ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,dep,0.0,παρέχεται,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ζυγῷ,(),False,x̓x,False,False,False,False,,,,,,,,,,
ζυγῷ,ζυγῷ,ζυγῷ,ζυγῷ,ῷ,ζ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,μετοπωρινὴν,(),False,xxxx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,μετοπωρινὴν,(),False,",",False,True,False,False,,,,,,,,,,
ἐναργεστάτην,ἐναργεστάτην,ἐναργεστάτην,ἐναργεστάτην,την,ε,-20.0,ADJ,a-s---fas,Case=Acc|Degree=Sup|Gender=Fem|Number=Sing,nmod,0.0,πίστιν,(),False,x̓xxxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,Sup,,,
παρέχεται,παρέχεται,παρέχω,παρέχεται,ται,π,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,conj,0.0,ἔαρι,"(ἔαρι, μετοπώρῳ)",False,xxxx́xxxx,False,False,False,False,,,Sing,Pres,Fin,Mid,,Ind,3,
πίστιν,πίστιν,πίστις,πίστιν,τιν,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,παρέχεται,(),False,xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,ἑβδόμην,(),False,xxx͂,False,False,False,False,Gen,Neut,Sing,,,,,,,
περὶ,περὶ,περὶ,περὶ,ρὶ,π,-20.0,ADP,r--------,,case,0.0,ἑβδόμην,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἑβδόμην,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἑβδόμην,ἑβδόμην,ἑβδόμην,ἑβδόμην,μην,ε,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,πίστιν,(),False,x̔xxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
θεοπρεποῦς,θεοπρεποῦς,θεοπρεποῦς,θεοπρεποῦς,ῦς,θ,-20.0,ADJ,a-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,πίστιν,(),False,xxxx͂x,False,False,False,False,Gen,Neut,Sing,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἥλιος,(),False,·,False,True,False,False,,,,,,,,,,
ἑκατέρα,ἑκατέρα,ἑκατέρος,ἑκατέρα,́ρα,ε,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,γίνεται,(),False,x̔xxxx́xx,False,False,False,False,Nom,Neut,Plur,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,γίνεται,(),False,xx̀x,False,False,False,False,,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---fg-,Case=Gen|Gender=Fem|Number=Plur,det,0.0,ἰσημεριῶν,(),False,xx͂x,False,False,False,False,Gen,Fem,Plur,,,,,,,
ἰσημεριῶν,ἰσημεριῶν,ἰσημεριῶν,ἰσημεριῶν,ῶν,ι,-20.0,NOUN,n-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,ἑκατέρα,(),False,x̓xxxx͂x,False,False,False,False,Gen,Fem,Plur,,,,,,,
ἑβδόμῳ,ἑβδόμῳ,ἑβδόμῳ,ἑβδόμῳ,μῳ,ε,-20.0,ADJ,a-s---md-,Case=Dat|Gender=Masc|Number=Sing,nmod,0.0,γίνεται,(),False,x̔xxx́xxͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
γίνεται,γίνεται,γίγνομαι,γίνεται,ται,γ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,γίνεται,"(μετοπώρῳ,)",False,xx́xxxx,False,False,False,False,,,Sing,Pres,Fin,Mid,,Ind,3,
μηνί,μηνί,μηνί,μηνί,νί,μ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,γίνεται,(),False,xxxx́,False,False,False,False,Dat,Masc,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,διείρηται,(),False,",",False,True,False,False,,,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,ἃς,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,r--------,,case,0.0,ἃς,(),False,’,False,True,False,False,,,,,,,,,,
ἃς,ἃς,ἃς,ἃς,̔̀ς,α,-20.0,PRON,p-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obl,0.0,διείρηται,(),False,x̔̀x,False,False,False,False,Acc,Fem,Plur,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,διείρηται,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἑορτάζειν,ἑορτάζειν,ἑορτάζω,ἑορτάζειν,ειν,ε,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,dep,0.0,διείρηται,(),False,x̔xxxx́xxxx,False,False,False,False,,,,Pres,Inf,Act,,,,
διείρηται,διείρηται,διείρηται,διείρηται,ται,δ,-20.0,VERB,v3srie---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,acl,0.0,ἑκατέρα,(),False,xxxx́xxxx,False,False,False,False,,,Sing,Past,Fin,Mid,,Ind,3,Perf
νόμῳ,νόμῳ,νόμῳ,νόμῳ,μῳ,ν,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,διείρηται,(),False,xx́xxͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,ἑορτάς,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,,
μεγίστας,μεγίστας,μεγίστας,μεγίστας,τας,μ,-20.0,ADJ,a-p---fas,Case=Acc|Degree=Sup|Gender=Fem|Number=Plur,nmod,0.0,ἑορτάς,"(δημοτελεστάτας,)",False,xxxx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,Sup,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,μεγίστας,(),False,xxx̀,False,False,False,False,,,,,,,,,,
δημοτελεστάτας,δημοτελεστάτας,δημοτελεστάτας,δημοτελεστάτας,τας,δ,-20.0,ADJ,a-p---fas,Case=Acc|Degree=Sup|Gender=Fem|Number=Plur,conj,0.0,μεγίστας,"(μεγίστας,)",False,xxxx́xxx,False,False,False,False,Acc,Fem,Plur,,,,Sup,,,
ἑορτάς,ἑορτάς,ἑορτάς,ἑορτάς,άς,ε,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,διείρηται,(),False,x̔xxxx́x,False,False,False,False,Acc,Fem,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐπειδήπερ,(),False,",",False,True,False,False,,,,,,,,,,
ἐπειδήπερ,ἐπειδήπερ,ἐπειδήπερ,ἐπειδήπερ,περ,ε,-20.0,ADV,c--------,,mark,0.0,τελειογονεῖται,(),False,x̓xxxx́xxx,False,False,False,False,,,,,,,,,,
ἀμφοτέραις,ἀμφοτέραις,ἀμφοτέραις,ἀμφοτέραις,αις,α,-20.0,ADJ,a-p---fd-,Case=Dat|Gender=Fem|Number=Plur,advmod,0.0,τελειογονεῖται,(),False,x̓xxxx́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,τελειογονεῖται,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,,
ὅσα,ὅσα,ὅσος,ὅσα,́σα,ο,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,τελειογονεῖται,(),False,x̔́xx,False,False,False,False,Nom,Neut,Plur,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,γῆς,(),False,x̓x,False,False,False,False,,,,,,,,,,
γῆς,γῆς,γῆ,γῆς,ῆς,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,τελειογονεῖται,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
τελειογονεῖται,τελειογονεῖται,τελειογονεῖται,τελειογονεῖται,ται,τ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,advcl,0.0,διείρηται,(),False,xxxx͂xxx,False,False,False,False,,,Sing,Pres,Fin,Mid,,Ind,3,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔαρι,(),False,",",False,True,False,False,,,,,,,,,,
ἔαρι,ἔαρι,ἔαρ,ἔαρι,αρι,ε,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,appos,0.0,ἑκατέρα,(),False,x̓́xxx,False,False,False,False,Dat,Neut,Sing,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἔαρι,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,καρπὸς,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,σίτου,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
σίτου,σίτου,σίτος,σίτου,του,σ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,καρπὸς,(),False,xx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
καρπὸς,καρπὸς,καρπὸς,καρπὸς,ὸς,κ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,γίνεται,"(σπαρτά,)",False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,καρπὸς,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,ἄλλων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
ἄλλων,ἄλλων,ἄλλος,ἄλλων,λων,α,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,σπαρτά,(),False,x̓́xxxx,False,False,False,False,Gen,Masc,Plur,,,,,,,
ὅσα,ὅσα,ὅσος,ὅσα,́σα,ο,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nmod,0.0,σπαρτά,(),False,x̔́xx,False,False,False,False,Nom,Neut,Plur,,,,,,,
σπαρτά,σπαρτά,σπαρτά,σπαρτά,τά,σ,-20.0,NOUN,n-p---nn-,Case=Nom|Gender=Neut|Number=Plur,conj,0.0,καρπὸς,"(καρπὸς,)",False,xxxx́,False,False,False,False,Nom,Neut,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,μετοπώρῳ,(),False,",",False,True,False,False,,,,,,,,,,
μετοπώρῳ,μετοπώρῳ,μετοπώρῳ,μετοπώρῳ,ρῳ,μ,-20.0,NOUN,Nb,Case=Dat|Gender=Masc|Number=Sing,conj,0.0,γίνεται,"(γίνεται,)",False,xxxx́xxͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,c--------,,advmod,0.0,γίνεται,(),False,xx̀,False,False,False,False,,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,μετοπώρῳ,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ἀμπέλου,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἀμπέλου,ἀμπέλου,ἀμπέλους,ἀμπέλου,λου,α,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ὁ,"(ἀκροδρύων,)",False,x̓xxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀμπέλου,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,ἀκροδρύων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
ἄλλων,ἄλλων,ἄλλος,ἄλλων,λων,α,-20.0,ADJ,a-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,ἀκροδρύων,(),False,x̓́xxxx,False,False,False,False,Gen,Fem,Plur,,,,,,,
πλείστων,πλείστων,πλείστων,πλείστων,των,π,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἀκροδρύων,(),False,xxxx́xxxx,False,False,False,False,Gen,Masc,Plur,,,,,,,
ἀκροδρύων,ἀκροδρύων,ἀκροδρύες,ἀκροδρύων,́ων,α,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,conj,0.0,ἀμπέλου,"(ἀμπέλου,)",False,x̓xxxx́xx,False,False,False,False,Gen,Neut,Plur,,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,γίνεται,(),False,.,False,True,False,False,,,,,,,,,,
