orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Aspect,Case,Gender,Number,Tense,VerbForm,Voice,Definite,PronType,Mood,Person,Degree,Polarity
ὁρατὸν,ὁρατὸν,ὁρατὸν,ὁρατὸν,ὸν,ο,-20.0,ADJ,A-,Case=Acc|Gender=Masc|Number=Sing,amod,0.0,κόσμον,(),False,x̔xxxx̀x,False,False,False,False,,Acc,Masc,Sing,,,,,,,,,
κόσμον,κόσμον,κόσμος,κόσμον,μον,κ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,δημιουργῆσαι,(),False,xx́xxxx,False,False,False,False,,Acc,Masc,Sing,,,,,,,,,
τουτονὶ,τουτονὶ,τουτονὶ,τουτονὶ,νὶ,τ,-20.0,ADJ,a-s---md-,Case=Dat|Gender=Masc|Number=Sing,iobj,0.0,δημιουργῆσαι,(),False,xxxx̀,False,False,False,False,,Dat,Masc,Sing,,,,,,,,,
δημιουργῆσαι,δημιουργῆσαι,δημιουργῆσαι,δημιουργῆσαι,σαι,δ,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,xcomp,0.0,βουληθεὶς,(),False,xxxx͂xxx,False,False,False,False,,,,,Past,Inf,Act,,,,,,
προεξετύπου,προεξετύπου,προεξετύπου,προεξετύπου,που,π,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,conj,0.0,γένοιτο,"(γένοιτο,)",False,xxxx́xxx,False,False,False,False,Imp,,,Sing,Past,Fin,Act,,,Ind,3,,
τὸν,τὸν,τὸς,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,νοητόν,(),False,xx̀x,False,False,False,False,,Acc,Masc,Sing,,,,,,,,,
νοητόν,νοητόν,νοητός,νοητόν,όν,ν,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,προεξετύπου,(),False,xxxx́x,False,False,False,False,,Acc,Masc,Sing,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἵνα,(),False,",",False,True,False,False,,,,,,,,,,,,,
ἵνα,ἵνα,ἵνα,ἵνα,́να,ι,-20.0,SCONJ,c--------,,mark,0.0,ἀπεργάσηται,(),False,x̔́xx,False,False,False,False,,,,,,,,,,,,,
χρώμενος,χρώμενος,χρώμενος,χρώμενος,νος,χ,-20.0,VERB,v-sppemn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,ἀπεργάσηται,(),False,xxx́xxxx,False,False,False,False,,Nom,Masc,Sing,Pres,Part,Mid,,,,,,
ἀσωμάτῳ,ἀσωμάτῳ,ἀσωμάτῳ,ἀσωμάτῳ,τῳ,α,-20.0,ADJ,A-,Case=Dat|Gender=Neut|Number=Sing,amod,0.0,παραδείγματι,"(θεοειδεστάτῳ,)",False,x̓xxxx́xxͅ,False,False,False,False,,Dat,Neut,Sing,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀσωμάτῳ,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,,
θεοειδεστάτῳ,θεοειδεστάτῳ,θεοειδεστάτῳ,θεοειδεστάτῳ,τῳ,θ,-20.0,ADJ,a-s---mds,Case=Dat|Degree=Sup|Gender=Neut|Number=Sing,conj,0.0,ἀσωμάτῳ,"(ἀσωμάτῳ,)",False,xxxx́xxͅ,False,False,False,False,,Dat,Neut,Sing,,,,,,,,Sup,
