orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Degree,Mood,Person,Aspect
ὕλης,ὕλης,ὕλη,ὕλης,λης,υ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ξύλων,(),False,x̔́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐνδιῃτᾶτο,(),False,",",False,True,False,False,,,,,,,,,,
ᾧ,ᾧ,ᾧ,ᾧ,̔͂ͅ,ω,-20.0,PRON,p-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,ἐνδιῃτᾶτο,(),False,x̔͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
καθάπερ,καθάπερ,καθά,καθάπερ,περ,κ,-20.0,ADV,d--------,,advmod,0.0,ἐνδιῃτᾶτο,(),False,xxxx́xxx,False,False,False,False,,,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,πατρίδι,(),False,x̓x,False,False,False,False,,,,,,,,,,
πατρίδι,πατρίδι,πατρίς,πατρίδι,́δι,π,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,καθάπερ,(),False,xxxx́xx,False,False,False,False,Dat,Fem,Sing,,,,,,,
μετὰ,μετὰ,μετὰ,μετὰ,τὰ,μ,-20.0,ADP,r--------,,case,0.0,ἀσφαλείας,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
πάσης,πάσης,πάσης,πάσης,σης,π,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἀσφαλείας,(),False,xx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἀσφαλείας,ἀσφαλείας,ἀσφαλεία,ἀσφαλείας,́ας,α,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,ἐνδιῃτᾶτο,(),False,x̓xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἐνδιῃτᾶτο,ἐνδιῃτᾶτο,ἐνδιῃτᾶτο,ἐνδιῃτᾶτο,͂το,ε,-20.0,VERB,v3slie---,Mood=Ind|Number=Sing|Person=3|Tense=Pqp|VerbForm=Fin|Voice=Mid,acl,0.0,κόσμος,"(ὑπακούειν,)",False,x̓xxxxͅxx͂xx,False,False,False,False,,,Sing,Pqp,Fin,Mid,,Ind,3,
φόβου,φόβου,φόβος,φόβου,βου,φ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,obl,0.0,ὤν,(),False,xx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,φόβου,(),False,xx̀x,False,False,False,False,,,,,,,,,,
ἐκτὸς,ἐκτὸς,ἐκτὸς,ἐκτὸς,ὸς,ε,-20.0,ADP,r--------,,case,0.0,φόβου,(),False,x̓xxx̀x,False,False,False,False,,,,,,,,,,
ὤν,ὤν,ὤν,ὤν,̓́ν,ω,-20.0,AUX,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,ἐνδιῃτᾶτο,(),False,x̓́x,False,False,False,False,Nom,Masc,Sing,Pres,Part,Act,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀξιωθεὶς,(),False,",",False,True,False,False,,,,,,,,,,
ἅτε,ἅτε,ἅτε,ἅτε,́τε,α,-20.0,ADV,d--------,,advmod,0.0,ἀξιωθεὶς,(),False,x̔́xx,False,False,False,False,,,,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ἡγεμονίας,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,περιγείων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
περιγείων,περιγείων,περιγείων,περιγείων,́ων,π,-20.0,ADJ,A-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,ἡγεμονίας,(),False,xxxx́xx,False,False,False,False,Gen,Neut,Plur,,,,,,,
ἡγεμονίας,ἡγεμονίας,ἡγεμονία,ἡγεμονίας,́ας,η,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obj,0.0,ἀξιωθεὶς,(),False,x̔xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἀξιωθεὶς,ἀξιωθεὶς,ἀξιωθεὶς,ἀξιωθεὶς,ὶς,α,-20.0,VERB,v-sappmn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,advcl,0.0,ἐνδιῃτᾶτο,"(κατεπτηχότων,)",False,x̓xxxx̀x,False,False,False,False,Nom,Masc,Sing,Past,Part,Pass,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,ἀξιωθεὶς,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πάντων,πάντων,πάντων,πάντων,των,π,-20.0,ADJ,Px,Case=Gen|Gender=Neut|Number=Plur,obj,0.0,κατεπτηχότων,(),False,xx́xxxx,False,False,False,False,Gen,Neut,Plur,,,,,,,
ὅσα,ὅσα,ὅσος,ὅσα,́σα,ο,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,nmod,0.0,θνητὰ,(),False,x̔́xx,False,False,False,False,Acc,Neut,Plur,,,,,,,
θνητὰ,θνητὰ,θνητὰ,θνητὰ,τὰ,θ,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,κατεπτηχότων,(),False,xxxx̀,False,False,False,False,Acc,Neut,Plur,,,,,,,
κατεπτηχότων,κατεπτηχότων,κατεπτηχότων,κατεπτηχότων,των,κ,-20.0,VERB,v-pppamg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,conj,0.0,ἀξιωθεὶς,"(ἀξιωθεὶς,)",False,xxxx́xxx,False,False,False,False,Gen,Masc,Plur,Pres,Part,Act,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἐνδιῃτᾶτο,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ὑπακούειν,ὑπακούειν,ὑπακούω,ὑπακούειν,ειν,υ,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,conj,0.0,ἐνδιῃτᾶτο,"(ἐνδιῃτᾶτο,)",False,x̔xxxx́xxx,False,False,False,False,,,,Pres,Inf,Act,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,advmod,0.0,δεσπότῃ,(),False,x̔x,False,False,False,False,,,,,,,,,,
δεσπότῃ,δεσπότῃ,δεσπότῃ,δεσπότῃ,τῃ,δ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,δεδιδαγμένων,(),False,xxxx́xxͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
δεδιδαγμένων,δεδιδαγμένων,δεδιδαγμένων,δεδιδαγμένων,νων,δ,-20.0,VERB,v-prpemg-,Aspect=Perf|Case=Gen|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Mid,advcl,0.0,ὑπακούειν,"(βιασθέντων,)",False,xxxx́xxx,False,False,False,False,Gen,Masc,Plur,Past,Part,Mid,,,,Perf
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,δεδιδαγμένων,(),False,x̓̀,False,False,False,False,,,,,,,,,,
βιασθέντων,βιασθέντων,βιασθέντων,βιασθέντων,των,β,-20.0,VERB,v-pappmg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,conj,0.0,δεδιδαγμένων,"(δεδιδαγμένων,)",False,xxxx́xxxx,False,False,False,False,Gen,Masc,Plur,Past,Part,Pass,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,εὐπαθείαις,(),False,",",False,True,False,False,,,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,εὐπαθείαις,(),False,x̓x,False,False,False,False,,,,,,,,,,
εὐπαθείαις,εὐπαθείαις,εὐπαθεία,εὐπαθείαις,αις,ε,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,obl,0.0,πόλις,(),False,xx̓xxxx́xxx,False,False,False,False,Dat,Fem,Plur,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,οἶκος,(),False,xx̀,False,False,False,False,,,,,,,,,,
ταῖς,ταῖς,ταῖς,ταῖς,ῖς,τ,-20.0,DET,l-p---fd-,Case=Dat|Gender=Fem|Number=Plur,det,0.0,ζῶν,(),False,xxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,εἰρήνῃ,(),False,x̓x,False,False,False,False,,,,,,,,,,
εἰρήνῃ,εἰρήνῃ,εἰρήνῃ,εἰρήνῃ,νῃ,ε,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,ταῖς,(),False,xx̓xx́xxͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
ἀπολέμῳ,ἀπολέμῳ,ἀπολέμῳ,ἀπολέμῳ,μῳ,α,-20.0,ADJ,a-s---fd-,Case=Dat|Gender=Fem|Number=Sing,fixed,0.0,ταῖς,(),False,x̓xxxx́xxͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
ζῶν,ζῶν,ζῶ,ζῶν,ῶν,ζ,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,conj,0.0,οἶκος,"(οἶκος, πόλις)",False,xx͂x,False,False,False,False,Nom,Masc,Sing,Pres,Part,Act,,,,
ἀνεπιλήπτως,ἀνεπιλήπτως,ἀνεπιλήπτως,ἀνεπιλήπτως,τως,α,-20.0,ADV,d--------,,advmod,0.0,ζῶν,(),False,x̓xxxx́xxxx,False,False,False,False,,,,,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,οἶκος,(),False,.,False,True,False,False,,,,,,,,,,
