orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Aspect,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender
περιέχει,περιέχει,περιέχω,περιέχει,χει,π,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,περιέχει,(),False,xxxx́xxx,False,False,False,False,,Ind,Sing,3,Pres,Fin,Act,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,περιέχει,(),False,xx̀x,False,False,False,False,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,κόσμον,(),False,xx̀x,False,False,False,False,,,Sing,,,,,Acc,Masc
νοητὸν,νοητὸν,νοητὸς,νοητὸν,ὸν,ν,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,κόσμον,(),False,xxxx̀x,False,False,False,False,,,Sing,,,,,Acc,Masc
κόσμον,κόσμον,κόσμος,κόσμον,μον,κ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,περιέχει,(),False,xx́xxxx,False,False,False,False,,,Sing,,,,,Acc,Masc
ἐξαίρετον,ἐξαίρετον,ἐξαίρετος,ἐξαίρετον,τον,ε,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,κόσμον,(),False,x̓xxx́xxxx,False,False,False,False,,,Sing,,,,,Acc,Masc
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ὡς,(),False,",",False,True,False,False,,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,SCONJ,c--------,,mark,0.0,μηνύει,(),False,x̔x,False,False,False,False,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,λόγος,(),False,x̔,False,False,False,False,,,Sing,,,,,Nom,Masc
περὶ,περὶ,περὶ,περὶ,ρὶ,π,-20.0,ADP,r--------,,case,0.0,αὐτῆς,(),False,xxxx̀,False,False,False,False,,,,,,,,,
αὐτῆς,αὐτῆς,αὐτῆς,αὐτῆς,ῆς,α,-20.0,PRON,p-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,λόγος,(),False,xx̓xx͂x,False,False,False,False,,,Sing,,,,,Gen,Fem
λόγος,λόγος,λόγος,λόγος,γος,λ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,μηνύει,(),False,xx́xxx,False,False,False,False,,,Sing,,,,,Nom,Masc
μηνύει,μηνύει,μηνύω,μηνύει,́ει,μ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,advcl,0.0,περιέχει,(),False,xxxx́xx,False,False,False,False,,Ind,Sing,3,Pres,Fin,Act,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,περιέχει,(),False,.,False,True,False,False,,,,,,,,,
