orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Degree,Aspect
κεχρῆσθαι,κεχρῆσθαι,κεχρῆσθαι,κεχρῆσθαι,θαι,κ,-20.0,VERB,v--rne---,Aspect=Perf|Tense=Past|VerbForm=Inf|Voice=Mid,ccomp,0.0,τεκμηριώσαιτο,(),False,xxxx͂xxxx,False,False,False,False,,,,Past,Inf,Mid,,,,Perf
διαστάσεσι,διαστάσεσι,διαστάσεσι,διαστάσεσι,εσι,δ,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,obl,0.0,κεχρῆσθαι,(),False,xxxx́xxxx,False,False,False,False,,Plur,,,,,Dat,Fem,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,μήκει,(),False,",",False,True,False,False,,,,,,,,,,
μήκει,μήκει,μήκος,μήκει,κει,μ,-20.0,NOUN,Nb,Case=Dat|Gender=Neut|Number=Sing,appos,0.0,διαστάσεσι,"(πέρασι, στερεῷ)",False,xx́xxx,False,False,False,False,,Sing,,,,,Dat,Neut,,
πλάτει,πλάτει,πλάτος,πλάτει,τει,π,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,nmod,0.0,μήκει,"(βάθει,)",False,xxx́xxx,False,False,False,False,,Sing,,,,,Dat,Neut,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,πλάτει,(),False,xxx̀,False,False,False,False,,,,,,,,,,
βάθει,βάθει,βάθος,βάθει,θει,β,-20.0,ADJ,a-s---nd-,Case=Dat|Gender=Neut|Number=Sing,conj,0.0,πλάτει,"(πλάτει,)",False,xx́xxx,False,False,False,False,,Sing,,,,,Dat,Neut,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τέτταρσι,(),False,",",False,True,False,False,,,,,,,,,,
τέτταρσι,τέτταρσι,τέτταρσι,τέτταρσι,ρσι,τ,-20.0,ADJ,a-p---nd-,Case=Dat|Gender=Neut|Number=Plur,nmod,0.0,πέρασι,(),False,xx́xxxx,False,False,False,False,,Plur,,,,,Dat,Neut,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,μήκει,(),False,xx̀,False,False,False,False,,,,,,,,,,
πέρασι,πέρασι,πέρας,πέρασι,ασι,π,-20.0,NOUN,n-p---nd-,Case=Dat|Gender=Neut|Number=Plur,conj,0.0,μήκει,"(μήκει, στερεῷ)",False,xx́xxxx,False,False,False,False,,Plur,,,,,Dat,Neut,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,σημείῳ,(),False,",",False,True,False,False,,,,,,,,,,
σημείῳ,σημείῳ,σημείῳ,σημείῳ,́ῳ,σ,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,appos,0.0,μήκει,"(γραμμῇ, ἐπιφανείᾳ)",False,xxxx́xͅ,False,False,False,False,,Sing,,,,,Dat,Neut,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,σημείῳ,(),False,xxx̀,False,False,False,False,,,,,,,,,,
γραμμῇ,γραμμῇ,γραμμῇ,γραμμῇ,ῇ,γ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,σημείῳ,"(σημείῳ, ἐπιφανείᾳ)",False,xxxx͂ͅ,False,False,False,False,,Sing,,,,,Nom,Fem,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,σημείῳ,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἐπιφανείᾳ,ἐπιφανείᾳ,ἐπιφανείᾳ,ἐπιφανείᾳ,́ᾳ,ε,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,conj,0.0,σημείῳ,"(σημείῳ, γραμμῇ)",False,x̓xxxx́xͅ,False,False,False,False,,Sing,,,,,Dat,Fem,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,μήκει,(),False,xxx̀,False,False,False,False,,,,,,,,,,
στερεῷ,στερεῷ,στερεῷ,στερεῷ,ῷ,σ,-20.0,ADJ,a-s---nd-,Case=Dat|Gender=Neut|Number=Sing,conj,0.0,μήκει,"(μήκει, πέρασι)",False,xxxx͂ͅ,False,False,False,False,,Sing,,,,,Dat,Neut,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀποτελεῖται,(),False,",",False,True,False,False,,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,R-,,case,0.0,ὧν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,R-,,case,0.0,ὧν,(),False,’,False,True,False,False,,,,,,,,,,
ὧν,ὧν,ὧν,ὧν,̔͂ν,ω,-20.0,PRON,Pr,Case=Gen|Gender=Neut|Number=Plur,obl,0.0,συντεθέντων,(),False,x̔͂x,False,False,False,False,,Plur,,,,,Gen,Neut,,
συντεθέντων,συντεθέντων,συντεθέντων,συντεθέντων,των,σ,-20.0,VERB,v-pappmg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,advcl,0.0,ἀποτελεῖται,(),False,xxxx́xxxx,False,False,False,False,,Plur,,Past,Part,Pass,Gen,Masc,,
ἀποτελεῖται,ἀποτελεῖται,ἀποτελεῖται,ἀποτελεῖται,ται,α,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,acl,0.0,μήκει,(),False,x̓xxxx͂xxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Mid,,,,
ἑβδομάς,ἑβδομάς,ἑβδομάς,ἑβδομάς,άς,ε,-20.0,ADJ,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obl,0.0,ἀποτελεῖται,(),False,x̔xxxx́x,False,False,False,False,,Plur,,,,,Acc,Fem,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,τεκμηριώσαιτο,(),False,.,False,True,False,False,,,,,,,,,,
